transcript_path,intake_path,transcript_video_id,intake_video_id,transcript_title,intake_title,match_method,match_score,match_status
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,6aOnCK1gv2w,6aOnCK1gv2w,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+222% Return in 27 Days  The High Tight Flag Trading Setup Leif Soreide.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_rdmjsbDVuoU_high_tight_flag_leif_soreide.md,rdmjsbDVuoU,rdmjsbDVuoU,+222% Return in 27 Days  The High Tight Flag Trading Setup Leif Soreide,INTAKE_2026-05-03_rdmjsbDVuoU_high_tight_flag_leif_soreide,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+259% in 1 Year - Swing Trading Performance Strategy.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_q43pkYBo1hU_Intake_Report_2026-05-03.md,q43pkYBo1hU,q43pkYBo1hU,+259% in 1 Year - Swing Trading Performance Strategy,YT_q43pkYBo1hU_Intake_Report_2026-05-03,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,Tm0dkf8_giA,Tm0dkf8_giA,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP),video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_MnXQOt7_ZP0_quantlens_jim_roppel_ai_bull_market_intake_report.md,MnXQOt7_ZP0,MnXQOt7_ZP0,+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager,+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+969% Return in 1 Year The Pullback Strategy of a Trading Champion.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT.md,VKNEJA5r8zw,VKNEJA5r8zw,+969% Return in 1 Year The Pullback Strategy of a Trading Champion,QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+969% Return in 1 Year The Pullback Strategy of a Trading Champion.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_VKNEJA5r8zw_Intake_Report_2026-05-03.md,VKNEJA5r8zw,VKNEJA5r8zw,+969% Return in 1 Year The Pullback Strategy of a Trading Champion,YT_VKNEJA5r8zw_Intake_Report_2026-05-03,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Lessons from Market Wizards & Trading Legends.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,_AAX1ylNbIE,_AAX1ylNbIE,10 Lessons from Market Wizards & Trading Legends,INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons,video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Steps to Profitable Trading in 2024  Ryan Pierpont.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,KQRuUWSZvLE,KQRuUWSZvLE,10 Steps to Profitable Trading in 2024  Ryan Pierpont,"""Ryan Pierpont — Process, Edge, Market Awareness and Trader Evolution""",video_id,1.0,MATCHED
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Returns After Losing it all - Developing a Swing Trading System.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_002_XOul_ECgHyA_sean_ryan_swing_system.md,XOul-ECgHyA,XOul-ECgHyA,100% Returns After Losing it all - Developing a Swing Trading System,100% Returns After Losing it all - Developing a Swing Trading System,video_id,1.0,MATCHED
