candidate_id,source_url,source_title,transcript_path,intake_path,corrected_intake_path,source_quality,rule_clarity_score,mechanical_testability_score,trader_credibility_context_score,data_availability_score,expected_edge_plausibility_score,MTC_compatibility_score,visual_review_priority,final_priority_score,classification,next_action,do_not_test_yet_reason
QLR_Tm0dkf8_giA,https://www.youtube.com/watch?v=Tm0dkf8_giA,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_Tm0dkf8_giA_2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,5,3,5,29.5,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_HAN1kymVbTc,https://www.youtube.com/watch?v=HAN1kymVbTc,"Trading $30 Million at Age 25 - The Story of Ted Zhang, Momentum Portfolio Manager","06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading $30 Million at Age 25 - The Story of Ted Zhang, Momentum Portfolio Manager.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_006_HAN1kymVbTc_ted_zhang_momentum_portfolio_manager.md,,HIGH_QUALITY_TRADER_INTERVIEW,4,5,5,2,5,3,5,30.4,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_6aOnCK1gv2w,https://www.youtube.com/watch?v=6aOnCK1gv2w,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_6aOnCK1gv2w_INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,5,31.5,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR__AAX1ylNbIE,https://www.youtube.com/watch?v=_AAX1ylNbIE,10 Lessons from Market Wizards & Trading Legends,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Lessons from Market Wizards & Trading Legends.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,5,31.5,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_lpjTNygfnzM,https://www.youtube.com/watch?v=lpjTNygfnzM,153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\153% Return in 1 Year - Simple Swing Trading Strategies for Achieving Triple Digit Returns.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lpjTNygfnzM_deepak_swing_trading_triple_digit_returns.md,,HIGH_QUALITY_TRADER_INTERVIEW,4,5,5,2,5,3,5,30.4,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_lS9zbnLi1Gg,https://www.youtube.com/watch?v=lS9zbnLi1Gg,283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\283% Gain in 1 Year - The Story of the 22-Year-Old Swing Trader.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,5,31.5,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_lTiR1pc82EE,https://www.youtube.com/watch?v=lTiR1pc82EE,5 Simple & Effective Trading Setups of Market Wizards,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\5 Simple & Effective Trading Setups of Market Wizards.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_lTiR1pc82EE_INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,5,31.5,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_RTHRh_GLwH8,https://www.youtube.com/watch?v=RTHRh_GLwH8,100% Trading Returns - How to become a Super Trade with Mark Ritchie,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Trading Returns - How to become a Super Trade with Mark Ritchie.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_RTHRh_GLwH8_INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,HIGH_QUALITY_TRADER_INTERVIEW,5,4,5,2,5,3,5,30.3,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_uh5bALsKkLg,https://www.youtube.com/watch?v=uh5bALsKkLg,How Mark Minervini Became a Market Wizard,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How Mark Minervini Became a Market Wizard.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_uh5bALsKkLg_mark_minervini_market_wizard.md,,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,5,31.5,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_UMgJ0P8fe0s,https://www.youtube.com/watch?v=UMgJ0P8fe0s,Swing Trading Vs,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Swing Trading Vs.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175717\corrected_intakes\CORRECTED_UMgJ0P8fe0s_INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,5,3,5,29.5,SWING_TRADE_STRATEGY,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,No strategy backtests in this phase; needs isolated sandbox and visual review.
