transcript_path,url,video_id,title,channel_or_source,duration,major_sections_or_timestamps,appears_complete,timestamps_present,word_count,transcript_type,strategy_keywords,wisdom_keywords
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,https://youtu.be/6aOnCK1gv2w?si=ZjHNQfjB0wOfefr8,6aOnCK1gv2w,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,UNKNOWN,UNKNOWN,"1. bölüm: Intro & 166% USIC Performance | 2. bölüm: 2025 vs 2024: Key Improvements | 3. bölüm: 2025 Stats: 489 Trades, 30.5% Win Rate | 4. bölüm: Consecutive Losers & Tilt Control | 5. bölüm: The Secret: Journal & Iterate | 6. bölüm: Top Winners: ABVX, PLTR, IREN, USAR | 7. bölüm: CoreWeave Disaster: Oversizing Mistake | 8. bölüm: Pony Trade: Going on Tilt",LIKELY_COMPLETE,YES,33023,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; stop; position size; risk; swing,process; discipline; mistake; patience; journal; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+222% Return in 27 Days  The High Tight Flag Trading Setup Leif Soreide.md,https://youtu.be/rdmjsbDVuoU?si=8qhVw_nmLLRHolwf,rdmjsbDVuoU,+222% Return in 27 Days  The High Tight Flag Trading Setup Leif Soreide,UNKNOWN,UNKNOWN,none_detected,LOW_CONTENT_OR_BINARY,NO,6,LOW_QUALITY_GENERIC,,
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+259% in 1 Year - Swing Trading Performance Strategy.md,https://youtu.be/q43pkYBo1hU?si=JM_zb7YAWo5N2rls,q43pkYBo1hU,+259% in 1 Year - Swing Trading Performance Strategy,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,34258,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; risk; swing; day trader,process; psychology; discipline; mistake; lessons; patience; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md,https://youtu.be/Tm0dkf8_giA?si=KeJv1-D-_CbJU-FK,Tm0dkf8_giA,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,2997,STRATEGY_MECHANICAL,setup; breakout; pullback; vcp; stop; risk; swing,
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager.md,https://youtu.be/MnXQOt7_ZP0?si=OdvX4hI-qnjYMKZp,MnXQOt7_ZP0,+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,15721,TRADER_INTERVIEW,breakout; pullback; stop; position size; risk,process; patience; overtrading; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+969% Return in 1 Year The Pullback Strategy of a Trading Champion.md,https://youtu.be/VKNEJA5r8zw?si=292-FpdSVMBtGpva,VKNEJA5r8zw,+969% Return in 1 Year The Pullback Strategy of a Trading Champion,UNKNOWN,UNKNOWN,"1. bölüm: Introduction and 2025 Performance Preview | 2. bölüm: Background: $1,300 Start to 50% Drawdown to 969% Year | 3. bölüm: Trading Style: Swing Trader, Trend Follower, Pullback Focus | 4. bölüm: 2025 Stats: 209 Winners, 731 Losers, Win Rate and R:R | 5. bölüm: The Math of Tight Stops: 15R to 25R Advantage | 6. bölüm: Margin and Position Management: Up to 280% Exposure | 7. bölüm: December Drawdown: 26% Loss and Overtrading Analysis | 8. bölüm: Pullback Buy Education: Core Methodology",LIKELY_COMPLETE,YES,51904,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; vwap; stop; position size; risk; sell rules; swing,process; psychology; discipline; mistake; lessons; overtrading; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Lessons from Market Wizards & Trading Legends.md,https://youtu.be/_AAX1ylNbIE?si=GS5jQ8yvhFsDIQd1,_AAX1ylNbIE,10 Lessons from Market Wizards & Trading Legends,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,17146,TRADER_INTERVIEW,setup; entry; breakout; vcp; stage analysis; stop; position size; risk; swing; day trader,process; discipline; mistake; lessons; patience; journal; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Steps to Profitable Trading in 2024  Ryan Pierpont.md,https://youtu.be/KQRuUWSZvLE?si=50fVh__JlzLkqeb0,KQRuUWSZvLE,10 Steps to Profitable Trading in 2024  Ryan Pierpont,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,26374,TRADER_INTERVIEW,setup; entry; breakout; pullback; stop; position size; risk; sell rules; swing; day trader,process; psychology; discipline; mistake; patience; overtrading; journal; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Returns After Losing it all - Developing a Swing Trading System.md,https://youtu.be/XOul-ECgHyA?si=lGRJSk2sTxtqli3v,XOul-ECgHyA,100% Returns After Losing it all - Developing a Swing Trading System,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,21259,TRADER_INTERVIEW,setup; entry; breakout; vcp; stop; position size; risk; swing,process; psychology; discipline; mistake; draw down; mental
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Trading Returns - How to become a Super Trade with Mark Ritchie.md,https://youtu.be/RTHRh_GLwH8?si=NyxT_vvKDrHwMv64,RTHRh_GLwH8,100% Trading Returns - How to become a Super Trade with Mark Ritchie,UNKNOWN,UNKNOWN,timestamps_present,LIKELY_COMPLETE,YES,19290,TRADER_INTERVIEW,setup; entry; breakout; pullback; vcp; stop; position size; risk; swing; day trader,process; psychology; discipline; mistake; lessons; mental
