stg_code,id,score,status,stage,blocker,next_action,forward_label,decision_sentence
Stg087,QL_ALPHA_LINK_8EMA_1H,88,NEEDS_FORWARD_EVIDENCE,pre_parity,forward evidence,Finish: Start forward paper-trade (collect new trades),0/30 trades,QL_ALPHA_LINK_8EMA_1H scores 88/100 but is not MTC_V2-ready because forward paper-trade evidence is incomplete (0/30 trades).
Stg080,QL_ALPHA_ADA_TWO_CANDLE_SR_1H,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,0/30 trades,QL_ALPHA_ADA_TWO_CANDLE_SR_1H scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg081,QL_ALPHA_LTC_RSI_OVERSOLD_1H,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,0/40 trades,QL_ALPHA_LTC_RSI_OVERSOLD_1H scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_AVWAP_BRIAN_EARNINGS_ANCHOR_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_AVWAP_BRIAN_EARNINGS_ANCHOR_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_AVWAP_BRIAN_GAP_RECLAIM_5M,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_AVWAP_BRIAN_GAP_RECLAIM_5M scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_AVWAP_BRIAN_INTRADAY_OR_5M,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_AVWAP_BRIAN_INTRADAY_OR_5M scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_AVWAP_BRIAN_STAGE2_EMERGING_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_AVWAP_BRIAN_STAGE2_EMERGING_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_CONNELL_EVENT_DRIVEN_GAP_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_CONNELL_EVENT_DRIVEN_GAP_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_CONNELL_EVENT_DRIVEN_GAP_5M,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_CONNELL_EVENT_DRIVEN_GAP_5M scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_DEEPAK_153_FILTER_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_DEEPAK_153_FILTER_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_DEEPAK_259_RISK_OVERLAY,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_DEEPAK_259_RISK_OVERLAY scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_DEEPAK_SNAPBACK_50SMA_INTRADAY,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_DEEPAK_SNAPBACK_50SMA_INTRADAY scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_EPISODIC_PIVOT_CHRISTIAN_5M,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_EPISODIC_PIVOT_CHRISTIAN_5M scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_HIGHEST_VOLUME_EDGE_PROSWING_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_HIGHEST_VOLUME_EDGE_PROSWING_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_LAUNCHPAD_PROSWING_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_LAUNCHPAD_PROSWING_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_OPEN_RANGE_5PCT_STOP_CHRISTIAN_5M,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_OPEN_RANGE_5PCT_STOP_CHRISTIAN_5M scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_RS_PHASE_DAYS_PROSWING_OVERLAY,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_RS_PHASE_DAYS_PROSWING_OVERLAY scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_SELL_RULES_MARKET_WIZARDS_OVERLAY,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_SELL_RULES_MARKET_WIZARDS_OVERLAY scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_TRAIL_20MA_CHRISTIAN_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_TRAIL_20MA_CHRISTIAN_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_VCP_EARLY_ENTRY_CHRISTIAN_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_VCP_EARLY_ENTRY_CHRISTIAN_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_VCP_MINERVINI_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_VCP_MINERVINI_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QL_VCP_RICHARD_1D,64,LOW_SCORE_REVIEW,promoted,score below 65,Run PineTS Pine=Python parity,No forward plan,QL_VCP_RICHARD_1D scores 64/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg082,CAND_20260503_TED_ZHANG_MAGIC_ELIXIR_MOMENTUM_HAN1kymVbTc,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,CAND_20260503_TED_ZHANG_MAGIC_ELIXIR_MOMENTUM_HAN1kymVbTc scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg083,CAND_BRIAN_LEE_SMALLCAP_GAP_MR_SHORT_V1,57,LOW_SCORE_REVIEW,classified,score below 65,Run walk-forward / OOS / alpha test,No forward plan,CAND_BRIAN_LEE_SMALLCAP_GAP_MR_SHORT_V1 scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QLR_C9Pvd9UD0jM,57,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_C9Pvd9UD0jM scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QLR_Tm0dkf8_giA,57,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_Tm0dkf8_giA scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
,QLR_VKNEJA5r8zw,57,LOW_SCORE_REVIEW,classified,score below 65,Wiki/module branch ? park,No forward plan,QLR_VKNEJA5r8zw scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg084,QL_2026-05-01_US_EQUITIES_10M_8EMA_PULLBACK,57,LOW_SCORE_REVIEW,backtested,score below 65,Build promotion packet,No forward plan,QL_2026-05-01_US_EQUITIES_10M_8EMA_PULLBACK scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg085,QL_2026-05-01_US_EQUITIES_INTRADAY_LE_MODEL_BULL_FLAG,57,LOW_SCORE_REVIEW,backtested,score below 65,Build promotion packet,No forward plan,QL_2026-05-01_US_EQUITIES_INTRADAY_LE_MODEL_BULL_FLAG scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
Stg086,QL_2026-05-01_US_EQUITIES_INTRADAY_PURPLE_PROFITS,57,LOW_SCORE_REVIEW,backtested,score below 65,Build promotion packet,No forward plan,QL_2026-05-01_US_EQUITIES_INTRADAY_PURPLE_PROFITS scores 57/100 and is held in LOW_SCORE_REVIEW because of score below 65.
