candidate_id,tier,score,verdict,asset_class,timeframe
QL_NICK_WEEKLY_CHARACTER_CHANGE_001,C,5,UNKNOWN,unknown,"{'primary': '1W', 'optional_context': '1M'}"
QL_NICK_CONTROLLED_WEAKNESS_BASE_RETEST_001,C,5,UNKNOWN,unknown,1W
QL_NICK_10W_30W_RESPECT_ENTRY_001,C,5,UNKNOWN,unknown,1W
QL_NICK_UP_ON_VOLUME_RADAR_001,C,5,UNKNOWN,unknown,1W
QL_NICK_WEEKLY_SELL_DECISION_FRAMEWORK_001,C,5,UNKNOWN,unknown,unknown
QL_NICK_EARNINGS_CUSHION_RULE_001,C,5,UNKNOWN,unknown,unknown
QL_NICK_TRADE_FREQUENCY_GUARD_001,C,5,UNKNOWN,unknown,unknown
QL_GON_STRONG_DEMAND_LOW_VOLUME_EMA_TOUCH_v0,C,5,UNKNOWN,unknown,unknown
QL_GON_OG_BULL_FLAG_HIGH_TIGHT_v0,C,5,UNKNOWN,unknown,unknown
QL_GON_STRONG_DEMAND_SLOW_FADER_RECLAIM_v0,C,5,UNKNOWN,unknown,unknown
QL_GON_SHORT_SQUEEZE_REVERSAL_BALL_UNDER_WATER_v0,C,5,UNKNOWN,unknown,unknown
QL_GON_NEXT_DAY_LOW_FLOAT_CONTINUATION_v0,C,5,UNKNOWN,unknown,unknown
QL_NICK_WEEKLY_CHARACTER_CHANGE_TREND_STARTER_001,C,5,UNKNOWN,unknown,1W
QL_NICK_WEEKLY_BASE_TIGHTNESS_ACCUMULATION_001,C,5,UNKNOWN,unknown,1W
QL_NICK_UP_ON_VOLUME_UNIVERSE_SCAN_001,C,5,UNKNOWN,unknown,unknown
QL_NICK_WEEKLY_SCALE_IN_ON_PROOF_001,C,5,UNKNOWN,unknown,unknown
QL_NICK_WEEKLY_CLOSE_STOP_POLICY_001,C,5,UNKNOWN,unknown,unknown
QL_NICK_ASYMMETRIC_RISK_REWARD_FILTER_001,C,5,UNKNOWN,unknown,unknown
QL_CHARLES_UPSIDE_REVERSAL_PULLBACK_001,C,5,UNKNOWN,unknown,"{'primary': '1D', 'context': '1W'}"
QL_CHARLES_FIRST_PULLBACK_50DMA_001,C,5,UNKNOWN,unknown,1D
QL_CHARLES_21EMA_PULLBACK_ADDON_001,C,5,UNKNOWN,unknown,1D
QL_CHARLES_PRIOR_BASE_TOP_SUPPORT_PULLBACK_001,C,5,UNKNOWN,unknown,1D
QL_CHARLES_REVERSE_PYRAMID_PULLBACK_SCALEIN_001,C,5,UNKNOWN,unknown,unknown
QL_CHARLES_SWING_AROUND_CORE_001,C,5,UNKNOWN,unknown,unknown
QL_CHARLES_WEEKLY_SHAKEOUT_CONFIRMATION_GUARD_001,C,5,UNKNOWN,unknown,unknown
QL_RYAN_MARKET_AWARENESS_GATE_001,C,5,UNKNOWN,"{'primary': 'equities', 'secondary': 'crypto'}","{'market_context': ['daily', 'weekly'], 'execution': ['strategy_specific']}"
QL_RYAN_LATE_ENTRY_CHASE_FILTER_001,C,5,UNKNOWN,unknown,unknown
QL_RYAN_PULLBACK_DANGER_ZONE_001,C,5,UNKNOWN,unknown,unknown
QL_RYAN_SELL_INTO_STRENGTH_RUNNER_EXIT_001,C,5,UNKNOWN,unknown,unknown
QL_LBR_COIL_BREAKOUT_RANGE_EXPANSION_v0,C,5,UNKNOWN,unknown,unknown
QL_LBR_THREE_BAR_BREAKOUT_v0,C,5,UNKNOWN,unknown,unknown
QL_LBR_BOX_MIDPOINT_RECLAIM_v0,C,5,UNKNOWN,unknown,unknown
QL_LBR_ATR_VOLATILITY_EXIT_OVERLAY_v0,C,5,UNKNOWN,unknown,unknown
