candidate_id,status,title,source_url,market_type,timeframe,candidate_kind,commercial_value_score,complexity_score,repaint_risk,lookahead_risk,closed_source_risk,mtc_overlap,next_action,candidate_folder,created_at,updated_at
QL_2026-05-01_US_EQUITIES_10M_8EMA_PULLBACK,PROTOTYPED,UNKNOWN_TITLE - 8 EMA purple line Amazon trade,https://www.youtube.com/watch?v=Gr2VDAOPRoc,US_EQUITIES_OPTIONS_UNDERLYING_PRICE,10m,entry_gate|guard|exit_rule|sl_tp_method|money_management,6,3,LOW,MEDIUM,LOW,Batch prototyped on 8 symbols. Total trades: 35411. Best performing: BTCUSDT (-38.31%).,Define deterministic prototype rules before code/backtest,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_US_EQUITIES_10M_8EMA_PULLBACK,2026-05-01,2026-05-29
QL_2026-05-01_US_EQUITIES_INTRADAY_LE_MODEL_BULL_FLAG,PROTOTYPED,The ONLY Pattern I've Used for 7 Years - Nothing Else (Full Strategy),https://www.youtube.com/watch?v=mMwl4xAh_NI,US_EQUITIES_OPTIONS_UNDERLYING_PRICE,intraday,entry_gate|confirmation|guard|exit_rule|sl_tp_method|money_management,7,4,LOW,MEDIUM,LOW,Batch prototyped on 8 symbols. Total trades: 35411. Best performing: BTCUSDT (-38.31%).,Define deterministic LE model prototype rules before code/backtest,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_US_EQUITIES_INTRADAY_LE_MODEL_BULL_FLAG,2026-05-01,2026-05-29
QL_2026-05-01_US_EQUITIES_INTRADAY_PURPLE_PROFITS,PROTOTYPED,Purple Profits strategy summary,https://www.youtube.com/watch?v=wwbjYNV3vCY,US_EQUITIES_OPTIONS_UNDERLYING_PRICE,intraday,entry_gate|confirmation|guard|exit_rule,7,4,LOW,MEDIUM,LOW,Batch prototyped on 8 symbols. Total trades: 35411. Best performing: BTCUSDT (-38.31%).,Consolidate EllyDTrades 8 EMA family into deterministic spec,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_US_EQUITIES_INTRADAY_PURPLE_PROFITS,2026-05-01,2026-05-29
QL_2026-05-01_US_EQUITIES_INTRADAY_8EMA_EXIT_TRAIL,PROTOTYPED,The Only Exit Strategy You'll Ever Need... (Even When You're Scared),https://www.youtube.com/watch?v=rprQ4uo-mzE,US_EQUITIES_OPTIONS_UNDERLYING_PRICE,intraday,exit_rule|sl_tp_method|trailing_be_method,6,2,LOW,LOW,LOW,Batch prototyped on 8 symbols. Total trades: 36045. Best performing: BTCUSDT (-35.88%).,Define mechanical 8 EMA break exit rule and consolidate with EllyDTrades family,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_US_EQUITIES_INTRADAY_8EMA_EXIT_TRAIL,2026-05-01,2026-05-29
QL_2026-05-01_TV_BUYSELL_INDICATOR_PACK,SALVAGE_ONLY,Five TradingView buy/sell signal indicators,UNKNOWN_URL,UNKNOWN,UNKNOWN,confirmation|guard,3,6,UNKNOWN,UNKNOWN,MEDIUM,External indicator bundle; no complete strategy or parity-ready formula,Keep as salvage-only until one open formula is selected and audited,06_QUANTLENS_LAB/03_SALVAGE_IDEAS/QL_2026-05-01_TV_BUYSELL_INDICATOR_PACK,2026-05-01,2026-05-01
QL_2026-05-01_UNKNOWN_MULTI_EMA_CHANNEL_PULLBACK,PROTOTYPED,Best EMA settings multi-EMA channel strategy,UNKNOWN_URL,UNKNOWN,UNKNOWN,entry_gate|guard|confirmation|exit_rule|sl_tp_method|money_management,6,5,LOW,LOW,LOW,Batch prototyped on 8 symbols. Total trades: 27809. Best performing: BTCUSDT (-32.88%).,Define deterministic channel-touch and EMA channel-cross semantics before Python prototype,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_UNKNOWN_MULTI_EMA_CHANNEL_PULLBACK,2026-05-01,2026-05-29
QL_2026-05-01_EQUILIBRIUM_MOMENTUM_SHIFT_DIVERGENCE,SALVAGE_ONLY,Equilibrium Momentum Shift divergence strategy,UNKNOWN_URL,UNKNOWN,UNKNOWN,confirmation|guard|sl_tp_method,4,6,UNKNOWN,MEDIUM,MEDIUM,External oscillator formula incomplete; no parity-ready implementation,Keep salvage-only until exact BigBeluga source and repaint audit are available,06_QUANTLENS_LAB/03_SALVAGE_IDEAS/QL_2026-05-01_EQUILIBRIUM_MOMENTUM_SHIFT_DIVERGENCE,2026-05-01,2026-05-01
QL_2026-05-01_RANKED_FVG_IMBALANCE_ZONES,SALVAGE_ONLY,Ranked FVG Imbalance Zones indicator,UNKNOWN_URL,UNKNOWN,ANY,confirmation|guard,4,6,UNKNOWN,MEDIUM,MEDIUM,External FVG ranking formula incomplete; no parity-ready implementation,Keep salvage-only until exact Zireman source and ranking formula are available,06_QUANTLENS_LAB/03_SALVAGE_IDEAS/QL_2026-05-01_RANKED_FVG_IMBALANCE_ZONES,2026-05-01,2026-05-01
QL_2026-05-01_LIQUID_INTRADAY_VWAP_PULLBACK_REVERSAL,PROTOTYPED,VWAP day trading pullback and reversal setups,UNKNOWN_URL,LIQUID_INTRADAY_ASSETS,5m,entry_gate|guard|confirmation|exit_rule|sl_tp_method,7,5,LOW,MEDIUM,LOW,Batch prototyped on 8 symbols. Total trades: 11341. Best performing: BTCUSDT (-31.70%).,Define deterministic VWAP pullback and band-reversal prototype spec before coding,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_LIQUID_INTRADAY_VWAP_PULLBACK_REVERSAL,2026-05-01,2026-05-29
QL_2026-05-01_ANY_1H_RSI_CONFLUENCE_PLAYBOOK,PROTOTYPED,RSI indicator course with five setups and confluence filters,UNKNOWN_URL,ANY_CLAIMED_UNVALIDATED,1h,entry_gate|guard|confirmation|exit_rule|sl_tp_method,6,8,MEDIUM,HIGH,LOW,Batch prototyped on 8 symbols. Total trades: 6778. Best performing: SOLUSDT (402.35%).,Decompose into one deterministic RSI setup plus one confluence filter before Python prototype,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_ANY_1H_RSI_CONFLUENCE_PLAYBOOK,2026-05-01,2026-05-29
QL_2026-05-01_SP500_5M_TWO_CANDLE_SENTIMENT_SR,PROTOTYPED,Two candle theory sentiment with support and resistance,UNKNOWN_URL,US_INDEX_EXAMPLE_GENERALIZABLE,5m,entry_gate|confirmation|guard|exit_rule|sl_tp_method,6,5,LOW,MEDIUM,LOW,Batch prototyped on 8 symbols. Total trades: 14770. Best performing: DOGEUSDT (63.32%).,Define deterministic two-candle state machine and past-only S/R breakout rules before prototype,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_SP500_5M_TWO_CANDLE_SENTIMENT_SR,2026-05-01,2026-05-29
QL_2026-05-01_SWING_1H_DUAL_RSI_60_40_PULLBACK,PROTOTYPED,Dual RSI 60/40 swing pullback strategy,UNKNOWN_URL,SWING_MARKETS_GENERAL_CLAIM,1h entries with 1d RSI trend filter,entry_gate|regime_filter|confirmation|guard|sl_tp_method,7,4,LOW,MEDIUM,LOW,Validated prototype on 8 symbols. Profitable on SOL, ETH, DOGE.,Progress to parity contract and Pine implementation,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_SWING_1H_DUAL_RSI_60_40_PULLBACK,2026-05-01,2026-05-29
QL_2026-05-01_ANY_BOLLINGER_BANDS_20_2_TRI_SETUP,PROTOTYPED,Bollinger Bands 20/2 breakout reversal and pullback setups,UNKNOWN_URL,ANY_CLAIMED_UNVALIDATED,ANY,entry_gate|regime_filter|confirmation|guard|sl_tp_method,6,6,LOW,MEDIUM,LOW,Batch prototyped on 8 symbols. Total trades: 3328. Best performing: SOLUSDT (192.75%).,Select one deterministic Bollinger variant and define band-width stop target rules before prototype,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_ANY_BOLLINGER_BANDS_20_2_TRI_SETUP,2026-05-01,2026-05-29
QL_2026-05-01_ANY_CANDLESTICK_7_PATTERN_PA_CONFLUENCE,PROTOTYPED,Seven candlestick patterns with price action confluence,UNKNOWN_URL,ANY_CLAIMED_UNVALIDATED,ANY,entry_gate|confirmation|guard|sl_tp_method,5,7,LOW,HIGH,LOW,Batch prototyped on 8 symbols. Total trades: 1079. Best performing: ADAUSDT (80.04%).,Pick one narrow pattern plus confluence variant before Python prototype,06_QUANTLENS_LAB/01_TRIAGED_CANDIDATES/QL_2026-05-01_ANY_CANDLESTICK_7_PATTERN_PA_CONFLUENCE,2026-05-01,2026-05-29
