candidate_id,source_url,source_title,transcript_path,intake_path,corrected_intake_path,source_quality,rule_clarity_score,mechanical_testability_score,trader_credibility_context_score,data_availability_score,expected_edge_plausibility_score,MTC_compatibility_score,visual_review_priority,final_priority_score,classification,next_action,do_not_test_yet_reason
QLR_10pHBNVi4Jc,https://www.youtube.com/watch?v=10pHBNVi4Jc,The Trading Setups of the Record Breaking Trading Champion,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Trading Setups of the Record Breaking Trading Champion.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,2,28.5,REJECT_LOW_QUALITY,REJECT_NO_TEST,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_9ZJK8175drM,https://www.youtube.com/watch?v=9ZJK8175drM,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX\corrected_intakes\CORRECTED_9ZJK8175drM_2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,5,2,2,25.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR__QewlGLBaeA,https://www.youtube.com/watch?v=_QewlGLBaeA,Trading Millions How I Finally Became a Profitable Swing Trader,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading Millions How I Finally Became a Profitable Swing Trader.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03__QewlGLBaeA_quantlens_anthony_shi_cycle_aware_momentum_intake.md,,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,2,28.5,REJECT_LOW_QUALITY,REJECT_NO_TEST,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_c7ZSb2wNcOc,https://www.youtube.com/watch?v=c7ZSb2wNcOc,2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX\corrected_intakes\CORRECTED_c7ZSb2wNcOc_2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,5,3,2,26.5,REJECT_LOW_QUALITY,REJECT_NO_TEST,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_fYxSQvuwOQc,https://www.youtube.com/watch?v=fYxSQvuwOQc,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX\corrected_intakes\CORRECTED_fYxSQvuwOQc_2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,4,4,2,2,26.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_KQRuUWSZvLE,https://www.youtube.com/watch?v=KQRuUWSZvLE,10 Steps to Profitable Trading in 2024  Ryan Pierpont,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Steps to Profitable Trading in 2024  Ryan Pierpont.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,2,28.5,REJECT_LOW_QUALITY,REJECT_NO_TEST,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_Ne3X-l6W4CQ,https://www.youtube.com/watch?v=Ne3X-l6W4CQ,"""Process adherence, overtrading and behavior analytics playbook""",,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX\corrected_intakes\CORRECTED_Ne3X-l6W4CQ_2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,2,5,2,2,25.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_XNZ4f-b3ED8,https://www.youtube.com/watch?v=XNZ4f-b3ED8,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX\corrected_intakes\CORRECTED_XNZ4f-b3ED8_2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,MEDIUM_QUALITY_EDUCATIONAL,5,5,3,4,3,2,2,25.5,DATA_BLOCKED,DO_NOT_TEST_UNTIL_SOURCE_FIXED,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_kao-hhaQnig,https://www.youtube.com/watch?v=kao-hhaQnig,103% Return in 1 Year The Simple Event Driven Trading Setup,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\103% Return in 1 Year The Simple Event Driven Trading Setup.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_kao-hhaQnig_andrew_connell_event_driven_value_area.md,,HIGH_QUALITY_TRADER_INTERVIEW,4,5,5,2,5,3,2,27.4,REJECT_LOW_QUALITY,REJECT_NO_TEST,No strategy backtests in this phase; needs isolated sandbox and visual review.
QLR_R215f4fj7V8,https://www.youtube.com/watch?v=R215f4fj7V8,The Simple Trading Setup That Made Lance Breitstein Millions,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Simple Trading Setup That Made Lance Breitstein Millions.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX\corrected_intakes\CORRECTED_R215f4fj7V8_INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,HIGH_QUALITY_TRADER_INTERVIEW,5,5,5,2,5,3,2,28.5,REJECT_LOW_QUALITY,REJECT_NO_TEST,No strategy backtests in this phase; needs isolated sandbox and visual review.
