candidate_id,source_url,source_title,transcript_path,intake_path,corrected_intake_path,strategy_class,native_market,native_timeframe,source_quality,rule_clarity,mechanical_testability,data_requirements,MTC_mapping,manual_visual_review_priority,final_action,reason
QLR_10pHBNVi4Jc,https://www.youtube.com/watch?v=10pHBNVi4Jc,The Trading Setups of the Record Breaking Trading Champion,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Trading Setups of the Record Breaking Trading Champion.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_62OaP91Jz9k,https://www.youtube.com/watch?v=62OaP91Jz9k,120% Return A Simple Weekly Strategy Anyone Can Use,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\120% Return A Simple Weekly Strategy Anyone Can Use.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_62OaP91Jz9k.md,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,WEEKLY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=POSITION_TRADING_STRATEGY. Antigravity repair accepted: POSITION_TRADING_STRATEGY -> SWING_TRADE_STRATEGY.
QLR__QewlGLBaeA,https://www.youtube.com/watch?v=_QewlGLBaeA,Trading Millions How I Finally Became a Profitable Swing Trader,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading Millions How I Finally Became a Profitable Swing Trader.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03__QewlGLBaeA_quantlens_anthony_shi_cycle_aware_momentum_intake.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_ivL6E6Lc6gM,https://www.youtube.com/watch?v=ivL6E6Lc6gM,a Hedge Fund Manager Reveals his Perfect Pullback Trading Setup,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\a Hedge Fund Manager Reveals his Perfect Pullback Trading Setup.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_ivL6E6Lc6gM_quantlens_charles_harris_pullback_intake.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_KQRuUWSZvLE,https://www.youtube.com/watch?v=KQRuUWSZvLE,10 Steps to Profitable Trading in 2024  Ryan Pierpont,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Steps to Profitable Trading in 2024  Ryan Pierpont.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_MnXQOt7_ZP0,https://www.youtube.com/watch?v=MnXQOt7_ZP0,+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_MnXQOt7_ZP0_quantlens_jim_roppel_ai_bull_market_intake_report.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_FINAL_CODEX_REPAIRED\corrected_intakes_final\FINAL_QLR_MnXQOt7_ZP0.md,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_SWING_1_TO_6_WEEKS,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=POSITION_TRADING_STRATEGY. Antigravity repair accepted: POSITION_TRADING_STRATEGY -> SWING_TRADE_STRATEGY.
QLR_NGyE4YIgGpU,https://www.youtube.com/watch?v=NGyE4YIgGpU,"2,115% Return in 1 Year How a Harvard Cancer Scientist Beat Wall Street","06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\2,115% Return in 1 Year How a Harvard Cancer Scientist Beat Wall Street.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_Tm0dkf8_giA,https://www.youtube.com/watch?v=Tm0dkf8_giA,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,06_QUANTLENS_LAB\research\restart_transcript_intake_audit_2026_05_04_CODEX_20260504_175759\corrected_intakes\CORRECTED_Tm0dkf8_giA_2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,MEDIUM_QUALITY_EDUCATIONAL,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_Lot25-2fb-4,https://www.youtube.com/watch?v=Lot25-2fb-4,433% Return in 1 Year From Poker Player to Full Time Trader,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\433% Return in 1 Year From Poker Player to Full Time Trader.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_001_Lot25-2fb-4_433_return_poker_player_full_time_trader.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,4,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
QLR_oZH6_XRxtDc,https://www.youtube.com/watch?v=oZH6_XRxtDc,Pro Swing Trading Entry Tactics Ultimate Trading Guide Ep3,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Pro Swing Trading Entry Tactics Ultimate Trading Guide Ep3.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_002_oZH6_XRxtDc_pro_swing_trading_entry_tactics_ep3.md,,SWING_TRADE_STRATEGY,UNKNOWN_REQUIRES_MANUAL_SOURCE_CHECK,DAILY_OR_MULTI_DAY_SWING,HIGH_QUALITY_TRADER_INTERVIEW,5,5,Source-specific transcript/intake requirements must be verified before sandbox testing.,Sandbox only. Prior MTC compatibility score=3.,5,MANUAL_VISUAL_REVIEW_ONLY_NO_BACKTEST_YET,Codex original classification=SWING_TRADE_STRATEGY.
