applied_change,candidate_id,decision,evidence,repair_id,request,source_file,source_paths_checked
PROCESS_OR_WORKFLOW_ONLY,QLR_-JyH5PAJ4-Y,ACCEPTED,Found matching Codex candidate row and applied Antigravity classification request.,RECLASS_QLR_-JyH5PAJ4-Y,RECLASSIFY,CANDIDATE_RECLASSIFICATION_REQUESTS_FOR_CODEX.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\I Stopped Trading So Much and My Profits Skyrocketed.md
PROCESS_OR_WORKFLOW_ONLY,QLR_q4TuaY-ccqA,ACCEPTED,Found matching Codex candidate row and applied Antigravity classification request.,RECLASS_QLR_q4TuaY-ccqA,RECLASSIFY,CANDIDATE_RECLASSIFICATION_REQUESTS_FOR_CODEX.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\FOMO is Ruining Your Trades Here's How to Fix It Trading Psychology.md
PROCESS_OR_WORKFLOW_ONLY,QLR_UtNrp_Uz9Oc,ACCEPTED,Found matching Codex candidate row and applied Antigravity classification request.,RECLASS_QLR_UtNrp_Uz9Oc,RECLASSIFY,CANDIDATE_RECLASSIFICATION_REQUESTS_FOR_CODEX.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading The Mental Game Jared Tendler.md
SWING_TRADE_STRATEGY,QLR_62OaP91Jz9k,ACCEPTED,Found matching Codex candidate row and applied Antigravity classification request.,RECLASS_QLR_62OaP91Jz9k,RECLASSIFY,CANDIDATE_RECLASSIFICATION_REQUESTS_FOR_CODEX.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\120% Return A Simple Weekly Strategy Anyone Can Use.md
SWING_TRADE_STRATEGY,QLR_MnXQOt7_ZP0,ACCEPTED,Found matching Codex candidate row and applied Antigravity classification request.,RECLASS_QLR_MnXQOt7_ZP0,RECLASSIFY,CANDIDATE_RECLASSIFICATION_REQUESTS_FOR_CODEX.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager.md
SWING_TRADE_STRATEGY,QLR_4-IjRmw7SZI,MODIFIED_ACCEPTED_AFTER_LOCAL_SOURCE_CHECK,TQQQ source title and Antigravity note support swing treatment unless transcript proves strict intraday. No strict intraday proof promoted here.,RECLASS_QLR_4-IjRmw7SZI,REVIEW_TIMEFRAME,CANDIDATE_RECLASSIFICATION_REQUESTS_FOR_CODEX.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Reality of Trading TQQQ and Key Strategies.md
No web/source fetch performed in final repair; transcript remains DATA_BLOCKED until intake is created from source.,QLR_esDKpwi1b2M,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=True; local intake exists=False.,MATCH_MISSING_INTAKE_esDKpwi1b2M,MISSING_INTAKE,MATCHING_AUDIT_FINDINGS.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\300% Return in the US Investing Championship  Leos Mikulka's Winning Strategies.md; 
No web/source fetch performed in final repair; transcript remains DATA_BLOCKED until intake is created from source.,,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=False.,MATCH_MISSING_INTAKE_missing,MISSING_INTAKE,MATCHING_AUDIT_FINDINGS.csv,; 
No web/source fetch performed in final repair; transcript remains DATA_BLOCKED until intake is created from source.,QLR_SMWMraeRDXs,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=True; local intake exists=False.,MATCH_MISSING_INTAKE_SMWMraeRDXs,MISSING_INTAKE,MATCHING_AUDIT_FINDINGS.csv,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The ULTIMATE Trading Risk Management Guide  Market Wizard Tom Basso.md; 
No web/source fetch performed in final repair; intake remains DATA_BLOCKED until transcript is supplied.,QLR_9ZJK8175drM,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=True.,MATCH_MISSING_TRANSCRIPT_9ZJK8175drM,MISSING_TRANSCRIPT,MATCHING_AUDIT_FINDINGS.csv,; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md
No web/source fetch performed in final repair; intake remains DATA_BLOCKED until transcript is supplied.,QLR_c7ZSb2wNcOc,MODIFIED_ACCEPTED_BLOCKED,Local transcript exists=False; local intake exists=True.,MATCH_MISSING_TRANSCRIPT_c7ZSb2wNcOc,MISSING_TRANSCRIPT,MATCHING_AUDIT_FINDINGS.csv,; 06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md
