video_id,title,transcript_path,intake_path,missing_or_wrong,evidence,repair_required
9ZJK8175drM,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,source transcript,INTAKE_WITHOUT_TRANSCRIPT,YES
c7ZSb2wNcOc,2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,source transcript,INTAKE_WITHOUT_TRANSCRIPT,YES
fYxSQvuwOQc,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,source transcript,INTAKE_WITHOUT_TRANSCRIPT,YES
Ne3X-l6W4CQ,"""Process adherence, overtrading and behavior analytics playbook""",,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,source transcript,INTAKE_WITHOUT_TRANSCRIPT,YES
Tm0dkf8_giA,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,warnings_caveats,warnings_caveats@7:48: uh first of all as 7:47 traders we're trying to leverage both 7:48 time and money so you don't want to be 7:50 kind of wasting time holding a stock 7:52 through a proper basing structure 7:54 instead we want to be participating 7:56 during these strong breakouts and up 7:58 tren,YES
XNZ4f-b3ED8,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,source transcript,INTAKE_WITHOUT_TRANSCRIPT,YES
6aOnCK1gv2w,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,warnings_caveats,warnings_caveats@no_timestamp: eYeah. And um obviously we've talked about this in the in the past. Um you know trying to avoid chopping 31:5331 dakika 53 saniyeyourself up like like you you talked about. Um do you have a rule at all about you know trying a name consecutively during a day or within a span of da,YES
6tnREqUJ1WY,Trading Backtests Are Misleading - Here's what to do instead,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Trading Backtests Are Misleading - Here's what to do instead.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,warnings_caveats,warnings_caveats@1:17:51: ing weeks and weeks and you have your best day in a while that's 1:17:51 kind of almost a warning sign that I've kind of noticed where all right got to be on guard a little bit now um that's 1:17:56 just something I've noticed sentiment so huge like you're so spot on with that an,YES
_AAX1ylNbIE,10 Lessons from Market Wizards & Trading Legends,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Lessons from Market Wizards & Trading Legends.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,timeframe,timeframe@5:06: ide Kathy Donley a fantastic Trader who really has a long-term mindset uh trades 5:06 off weekly charts you know looking to capture those full model book moves and then all the way here on the right hand 5:11 side we've got more intraday day Traders you know short-term momentum T,NO
lTiR1pc82EE,5 Simple & Effective Trading Setups of Market Wizards,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\5 Simple & Effective Trading Setups of Market Wizards.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,warnings_caveats; trader_wisdom,warnings_caveats@2:59: the daily 2:59 chart and I always look at a weekly too gotcha yeah and uh for this one I don't 3:04 know if you remember but if you're buying pretty much right at the open uh where where's your initial stop loss on 3:10 that or are you just watching intraday and if it if it reve || trader_wisdom@22:49: ited until we took out the next bar 22:49 here is an inside bar which is a key part of my process is the inside bar and 22:54 then also notice how there's this unfilled Gap below that so we have an unfilled gap which to me 23:01 is a sign of strength and we then have that inside,YES
R215f4fj7V8,The Simple Trading Setup That Made Lance Breitstein Millions,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\The Simple Trading Setup That Made Lance Breitstein Millions.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,trader_wisdom,trader_wisdom@1:02:03: it develop that setup 1:02:03 where you're waiting for the turn what what kind of mental processes are you going to to prepare yourself 1:02:08 for the trade and what are you physically doing are you setting alerts right below uh those highs as it's flushing down just kind 1:02:,YES
RTHRh_GLwH8,100% Trading Returns - How to become a Super Trade with Mark Ritchie,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Trading Returns - How to become a Super Trade with Mark Ritchie.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,warnings_caveats,warnings_caveats@15:13: well look this is this is the most important aspect in Risk management: Position sizing & avoiding big losses 15:20 terms of uh ensuring yourself that you're 15:25 not going to get you know in huge trouble and and look at i don't want to say i've never known 15:31 anyone who's bl,YES
UMgJ0P8fe0s,Swing Trading Vs,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\Swing Trading Vs.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,market_asset_class; trader_wisdom,market_asset_class@5:27: t myob job now is to let my winners run right and and they'll think all right I'm in this stock for a 5:34 lot of good reasons you know I know why I entered this stock I've got I've got really sound trading logic I'm I'm 5:39 expecting this to possibly run out you know to 50% 75% || trader_wisdom@11:10: ide um you know question to think of just a kind of a 11:10 thought uh to enter into your process are you consciously or subconsciously expecting most of your trades to run for 11:17 months and all be huge winners and this is something I see a lot of new Traders do they will call,YES
zw96qkUn9_g,How Clement Ang Achieved 150%+ Returns in the US Investing Championship,06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\How Clement Ang Achieved 150%+ Returns in the US Investing Championship.md,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md,warnings_caveats,"warnings_caveats@1:22:49: 3 to positive. So, um, when So, it's kind of like, you know, you're had I kind of 1:22:49 avoided all that chop and just been patient and waited for my fat pitch, 1:22:54 this was a fat pitch. Um, and then this was the day uh this was the second 1:23:02 entry. So again like it it",YES
JS4_6gv0PpI,"33,500% RETURN - Mark Minervini's VCP Setup that made him Millions","06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\33,500% RETURN - Mark Minervini's VCP Setup that made him Millions.md",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md,warnings_caveats,"warnings_caveats@3:12: re so style drift I would say was a key one so I would you know I think I 3:12 spent I don't know maybe $10,000 jumping from one strategy to the next um whether it first started 3:20 with options then it was um selling options right so I was I was trading options down the",YES
Yb5lMegA5Hs,QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,source transcript,INTAKE_WITHOUT_TRANSCRIPT,YES
RHlsVNSM8Aw,QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,source transcript,INTAKE_WITHOUT_TRANSCRIPT,YES
bRXO6F_vGjM,QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT,,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,source transcript,INTAKE_WITHOUT_TRANSCRIPT,YES
