path,filename,size_bytes,sha256,url,video_id,title,duplicate_video_id,is_text_readable
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,160796,5add1449946e02a8ca1753dfd0c0cc2954029572d34677e5871318b2e8341ce2,https://youtu.be/6aOnCK1gv2w?si=ZjHNQfjB0wOfefr8,6aOnCK1gv2w,+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+222% Return in 27 Days  The High Tight Flag Trading Setup Leif Soreide.md,+222% Return in 27 Days  The High Tight Flag Trading Setup Leif Soreide.md,52,5ee2e2047ffa57f8a5b254e353cc5a678e58c3652484aa5509d652c3d0da3ebd,https://youtu.be/rdmjsbDVuoU?si=8qhVw_nmLLRHolwf,rdmjsbDVuoU,+222% Return in 27 Days  The High Tight Flag Trading Setup Leif Soreide,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+259% in 1 Year - Swing Trading Performance Strategy.md,+259% in 1 Year - Swing Trading Performance Strategy.md,153990,1822e9d782e70dc113e2225aeaa66f133c6a06f3fc79340e018674272c67ec60,https://youtu.be/q43pkYBo1hU?si=JM_zb7YAWo5N2rls,q43pkYBo1hU,+259% in 1 Year - Swing Trading Performance Strategy,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP.md,14415,33992cd3a17c6b07c6dc9189107dbddbe947c7431adb3f73e214cbea953b0ae6,https://youtu.be/Tm0dkf8_giA?si=KeJv1-D-_CbJU-FK,Tm0dkf8_giA,+50% in 20 Days - How to Trade Breakouts with The Volatility Contraction Pattern (VCP,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager.md,+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager.md,76374,a85a497483e1713921bd3db67fc61510dfacc2c8110d1dcd3ef3cb3805b79dfa,https://youtu.be/MnXQOt7_ZP0?si=OdvX4hI-qnjYMKZp,MnXQOt7_ZP0,+85% Return in 30 Days The AI Bull Market Can Change your Life Hedge Fund Manager,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\+969% Return in 1 Year The Pullback Strategy of a Trading Champion.md,+969% Return in 1 Year The Pullback Strategy of a Trading Champion.md,250758,77b304c1ec1dc33de9d5a2f744d988b2eaaff0ed791a37db83a8e23802a51bf6,https://youtu.be/VKNEJA5r8zw?si=292-FpdSVMBtGpva,VKNEJA5r8zw,+969% Return in 1 Year The Pullback Strategy of a Trading Champion,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Lessons from Market Wizards & Trading Legends.md,10 Lessons from Market Wizards & Trading Legends.md,83921,1ecb8dca72b9a7ce762529b398f7b86277c093b7051ecddb785e54a1341effa0,https://youtu.be/_AAX1ylNbIE?si=GS5jQ8yvhFsDIQd1,_AAX1ylNbIE,10 Lessons from Market Wizards & Trading Legends,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\10 Steps to Profitable Trading in 2024  Ryan Pierpont.md,10 Steps to Profitable Trading in 2024  Ryan Pierpont.md,124031,8e6f6a3f1216e13b92454ce9cd7d95ad85d650c0057ce9a1268bc49320925cc1,https://youtu.be/KQRuUWSZvLE?si=50fVh__JlzLkqeb0,KQRuUWSZvLE,10 Steps to Profitable Trading in 2024  Ryan Pierpont,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Returns After Losing it all - Developing a Swing Trading System.md,100% Returns After Losing it all - Developing a Swing Trading System.md,96136,9949d7edc53f034aa2ae6cb77b0a86eec33f0399b3f5675eda87b199c9f2e72c,https://youtu.be/XOul-ECgHyA?si=lGRJSk2sTxtqli3v,XOul-ECgHyA,100% Returns After Losing it all - Developing a Swing Trading System,NO,YES
06_QUANTLENS_LAB\00_INBOX_REPORTS\Transcrips\100% Trading Returns - How to become a Super Trade with Mark Ritchie.md,100% Trading Returns - How to become a Super Trade with Mark Ritchie.md,89536,6600decaf3caafe5734190274953906b2e5c8bde8d857bea47273e940907a4c9,https://youtu.be/RTHRh_GLwH8?si=NyxT_vvKDrHwMv64,RTHRh_GLwH8,100% Trading Returns - How to become a Super Trade with Mark Ritchie,NO,YES
