candidate,dimension,codex_round_a,claude_round_a,gemini_round_a,classification,round_b_resolution
KELL_WEDGE,contract disagreement,Round A says prior proxy dropped Kell cycle preconditions and needs native data,Claude says Codex dropped flush/snapback/higher-low/contraction context and previous backtest was not fair,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Keep NEEDS_NATIVE_DATA; previous proxy did not test Kell
KELL_WEDGE,code disagreement,Stage-2 code/recompute usable only as degraded proxy,Claude says signal_kell reduced idea to EMA/Donchian-like proxy,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Do not use prior code as Kell evidence
KELL_WEDGE,source/context disagreement,Crypto proxy not source-faithful,Claude says US equity leader cycle context required,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Native equity context required
KELL_WEDGE,data/proxy disagreement,Current data insufficient,Claude says crypto-only bundle insufficient,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Needs US equity daily plus RS/earnings context
KELL_WEDGE,metric disagreement,High PF rejected due 17 trades/proxy,Claude says metrics measure degraded breakout proxy not Kell,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Metrics are not valid rescue evidence
KELL_WEDGE,verdict disagreement,NEEDS_NATIVE_DATA,CONTRACT_NEEDS_NATIVE_DATA,NOT_AVAILABLE,I_STAND_BY_MY_RESULT,Final remains NEEDS_NATIVE_DATA
CRABEL_RANGE_EXPANSION,contract disagreement,Round A says canonical Crabel is intraday/session and prior crypto-daily test unfair,Claude says daily prior-range breakout with no NR filter is not Crabel,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Keep Crabel as native/session-data retest only
CRABEL_RANGE_EXPANSION,code disagreement,Crabel same-bar/gap fill and daily trigger are suspect,Claude says implementation is generic crypto-daily breakout not Crabel Stretch/NR,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Prior code cannot rescue Crabel
CRABEL_RANGE_EXPANSION,source/context disagreement,Crypto-daily range expansion is separate candidate,Claude says source is Crabel book/session-open Stretch breakout,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Separate crypto-adapted variant if desired
CRABEL_RANGE_EXPANSION,data/proxy disagreement,Needs intraday/session-native data,Claude says current daily crypto bundle invalid by construction,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Needs ES/NQ/futures or US equity RTH intraday
CRABEL_RANGE_EXPANSION,metric disagreement,Recomputed PF survives but DD/proxy block promotion,Claude says Stage-2 metrics measure wrong strategy,NOT_AVAILABLE,OTHER_AGENT_CORRECT,PF cannot count toward Crabel producer verdict
CRABEL_RANGE_EXPANSION,verdict disagreement,NEEDS_NATIVE_DATA,CONTRACT_NEEDS_NATIVE_DATA,NOT_AVAILABLE,I_STAND_BY_MY_RESULT,Final remains NEEDS_NATIVE_DATA
SLINGSHOT_EMA_PULLBACK,contract disagreement,Round A says code is materially simple but weak OOS/DD,Claude says contract is faithful and best of six,NOT_AVAILABLE,OTHER_AGENT_CORRECT,Upgrade narrative: best producer prospect but still not PASS
