audited_candidate_id,original_candidate_id,title,source_file,source_url,video_id,strategy_family,asset_class,native_timeframe,rule_clarity,mechanical_testability,native_data_availability,edge,robustness,mtc,horizon_fit,overfit_penalty,data_penalty,source_penalty,duplicate_penalty,exact_rules,mtc_relevance,audit_verdict,data_status,source_quality,total_score,final_classification
AUD_CAND_001,CANDIDATE_001,Kell Wedge Pop / EMA Crossback,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,62OaP91Jz9k,trend_pullback,CRYPTO_PROXY,1D/4h/1h,4,4,5,3,2,4,4,-1,0,0,0,EMA10/EMA20 trend continuation after contraction and reclaim.,PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,MEDIUM_QUALITY_EDUCATIONAL,25,WEAK_CANDIDATE
AUD_CAND_002,CANDIDATE_002,Martin Luke Pullback AVWAP Proxy,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9`,lS9zbnLi1Gg,support_reclaim,EQUITY_NATIVE_CRYPTO_PROXY,1D/4h/1h,3,3,4,3,2,3,4,-2,0,0,0,EMA/AVWAP confluence pullback proxy with reclaim trigger.,PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,HIGH_QUALITY_TRADER_INTERVIEW,20,WEAK_CANDIDATE
AUD_CAND_003,CANDIDATE_003,"Slingshot EMA(high,4) Pullback",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,https://youtu.be/c7ZSb2wNcOc?si=qdou6ffSbBNhJw63,c7ZSb2wNcOc,trend_pullback,CRYPTO_PROXY,1D,5,5,5,3,2,4,4,-1,0,0,0,"Above SMA50, recent pullback under EMA(high,4), cross back above.",PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,MEDIUM_QUALITY_EDUCATIONAL,27,WEAK_CANDIDATE
AUD_CAND_004,CANDIDATE_004,Crabel Range Expansion,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,https://youtu.be/Ne3X-l6W4CQ?si=s2DVjxj3f45iUfgx,Ne3X-l6W4CQ,breakout,CRYPTO_PROXY,1D,5,5,5,3,2,4,4,-1,0,0,0,Break prior close plus/minus prior range multiplier; next close/time exit proxy.,PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,HIGH_QUALITY_TRADER_INTERVIEW,27,WEAK_CANDIDATE
AUD_CAND_005,CANDIDATE_005,BigBeluga RSI Divergence + CHoCH + ATR,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,"https://youtu.be/NGyE4YIgGpU?si=gj_6ZcIyjUFAEGhk""",NGyE4YIgGpU,reversal_structure,CRYPTO_PROXY,1D/4h,3,4,5,3,2,3,3,-2,0,-1,0,"RSI exhaustion plus structure break proxy, ATR/time management.",PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,MEDIUM_QUALITY_EDUCATIONAL,20,WEAK_CANDIDATE
AUD_CAND_006,CANDIDATE_006,CANSLIM Shakeout +3,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,position_breakout,US_EQUITY_NATIVE,1D,4,4,1,3,2,2,5,-2,-6,0,0,Double-bottom shakeout buy point; needs US equity RS/fundamental context.,POSITION_TRADING_MODULE,DATA_BLOCKED,NEEDS_REAL_EQUITY_DATA,HIGH_QUALITY_TRADER_INTERVIEW,13,NEEDS_REAL_EQUITY_DATA
AUD_CAND_007,CANDIDATE_007,Linda 5SMA RS Pullback,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,kTqKRi-j9kM,mean_reversion_pullback,CRYPTO_PROXY,1D,5,5,5,3,2,4,4,-1,0,0,0,"Trend asset closes below 5SMA, exits on snapback above 5SMA.",PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,HIGH_QUALITY_TRADER_INTERVIEW,27,WEAK_CANDIDATE
AUD_CAND_008,CANDIDATE_008,8AM ET Opening Range Breakout,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,intraday_breakout,SESSION_NATIVE_CRYPTO_PROXY,5m,4,4,4,1,1,3,5,-2,0,0,0,08:00 ET opening range breakout; crypto is 24/7 proxy only.,PRODUCER_CANDIDATE,KEEP_TESTED,5M_CRYPTO_PROXY,MEDIUM_QUALITY_EDUCATIONAL,20,REJECT_NO_EDGE
AUD_CAND_009,CANDIDATE_009,HighBeta Opening-Bar Gap-and-Go,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,intraday_momentum,US_EQUITY_NATIVE_CRYPTO_PROXY,5m,4,4,3,2,1,3,5,-2,-2,0,0,"Strong first 5m bar, low holds, break high; true gap data unavailable.",PRODUCER_CANDIDATE,KEEP_TESTED,5M_CRYPTO_PROXY_NEEDS_EQUITY_SESSION,MEDIUM_QUALITY_EDUCATIONAL,18,NEEDS_INTRADAY_SESSION_DATA
AUD_CAND_010,CANDIDATE_010,Ty Rajnus Microcap Liquidity Reversion Short,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,https://www.youtube.com/watch?v=6tnREqUJ1WY,6tnREqUJ1WY,microcap_short,US_MICROCAP_NATIVE,1m/premarket,4,3,0,3,1,1,5,-3,-10,0,0,Short overextended US microcap; requires borrow/locate/halt/dilution model.,DATA_BLOCKED,DATA_BLOCKED,NEEDS_REAL_MICROCAP_DATA,HIGH_QUALITY_TRADER_INTERVIEW,4,NEEDS_REAL_MICROCAP_DATA
