# WP-I check feasibility ledger - DRAFT round 1. Tab-separated, 8 columns, one row per Group A3/B/C check.
# Universe: GATE_A_POST_GATE_PREREGISTRATION_GAP_MATRIX_2026-08-09.md, Groups A3, B (B1,B1a,B2,B3,B4,B5,B6), C (C1-C5).
# unpriv_feasible: yes | no | partial | n-a  (n-a = local-static, no host contact, so no privilege question).
# classification: INCLUDE-READ-ONLY | DEFER-ROOT-SIDE | BLOCKED-UPSTREAM | ALREADY-BANKED.
#   A check whose sub-predicates split across two classes carries both, "<class> (<scope>) / <class> (<scope>)".
#   Collapsing such a check to one class would either smuggle an infeasible probe into the run plan (the B3-GAP-ENV
#   failure) or silently drop a feasible one. The split is stated, not resolved by rounding.
# ALREADY-BANKED cites EVIDENCE_INDEX.md where the artifact is in that index. Where prior evidence exists OUTSIDE
#   that index (Gate-A A0-A9, transition inventory), it is cited as prior capture and does NOT count as banked here;
#   EVIDENCE_INDEX.md covers unit WPLP2-20260809T125940Z-8dc78f08 only. See SELF_QA.md Q2.
check_id	group	description	unpriv_feasible	unpriv_why	classification	evidence_or_blocker	wpi_disposition
A3	A3	Static security inventory: 56-entry exact+hashed dependency lock, content-redacted secret scan (zero category/path hits), static outbound-egress inventory	n-a	local-static; no host contact, so no privilege question arises. The host half of the lock predicate is a separate check (B1a) and is not closed by A3.	ALREADY-BANKED	Closed statically by the matrix itself: A3 "PASS (static, satisfied): 56 entries, every entry exact+hashed, no URL/VCS/index override", re-derived at the candidate in both repair rounds (56 entries, 1345 --hash=sha256: lines); lock blob 47f53fa227bf0f18b9bf9bd77e060d8856961728, content sha256 a1881296c8cb6e0e9df33554aa2a25652cfeba2506530c74c7845ba2f58bf66e. NOT in EVIDENCE_INDEX.md.	Cite; do not re-plan and do not re-derive. Never cite 40873556... (Windows CRLF worktree checkout, 119274 B) - withdrawn round 2.
B1	B	Per-SHA venv interpreter is Python 3.12 and its installed distribution set exactly equals the 56-entry lock (verify_lock.py --check-installed, expect packages=56)	yes	Release and venv roots are 0555 root:root, i.e. r-x for other, so gatea can traverse and read both trees and execute <venv>/bin/python. verify_lock.py is offline and read-only (matrix A6) and needs no write. Empirically the burned B3 run walked both trees as gatea with no permission error (B3_STOP_ADJUDICATION: "Checks #1-#3 (release tree, venv tree, write-bit sweeps) all held").	INCLUDE-READ-ONLY	No banked result; matrix B1 records "Not yet proven on Ubuntu at the candidate". Ordering dependency: admissible only after the B3-scoped venv walk completes with zero permission diagnostics AND every metadata object the verifier consumes is proven readable by gatea (Codex F1, round 1.2), else an unreadable .dist-info reads as a missing distribution and produces a false FAIL; a generic nonzero verifier rc never becomes B1_FAIL.	Run plan, RO stage; prereg section 8.2 rows 18-19 plus the binding ordering rule and the metadata-readability adjudication rule (Codex F1, round 1.2): a generic nonzero verifier rc never becomes B1_FAIL; any unreadable metadata object or indistinguishable verifier error is B1_STOP. Class unchanged - INCLUDE-READ-ONLY.
B1a	B	Byte identity of the INSTALLED requirements.lock (expect a1881296...bf66e, 117762 B); optional corroboration from /etc/mtc-bridge/install_manifest.json requirements_lock_sha256	partial	sha256sum of the installed lock is feasible: the file sits inside the 0555 release tree. The manifest corroboration is not: /etc/mtc-bridge is 0750 root:root, so gatea gets EACCES on every name under it regardless of whether the file exists (B3_STOP_ADJUDICATION), and the manifest is itself 0640 root:root.	INCLUDE-READ-ONLY (installed-lock digest) / DEFER-ROOT-SIDE (manifest field)	Host value NOT IN EVIDENCE: matrix round-3 block and B1a "Existing evidence: NONE" - install.sh writes LOCK_SHA but never logs it, the transition inventory read the manifest for boolean/schema fields only, and the local verify_lock/RELEASE_SHA256SUMS PASS records belong to superseded releases and carry counts not hashes.	Digest half: run plan, prereg section 8.2 row 17, disposition investigate-read-only on mismatch; a sha256sum open/read/permission/LSM error is B1a_STOP (Codex F5, round 1.2), never compared against possibly empty output. Manifest half: prereg section 9, RPD-VERIFY.
B2	B	systemd runtime identity: unit active, Restart=no, NRestarts=0, MainPID as recorded, bound to the exact release SHA and per-SHA venv, no [Install], fragment digest matches	yes	systemctl is-active / show -p / cat are read-only queries needing no polkit privilege. The unit fragment /usr/local/lib/systemd/system/mtc-bridge-first-start.service is mode 644 (transition inventory, 3736 B), so gatea can read, grep and sha256sum it, and /etc/systemd/system is world-searchable for any drop-ins systemctl cat resolves.	INCLUDE-READ-ONLY	Blocker to dispatch, not to feasibility: the expected fragment digest appears only elided as 538c1c60...279bd in matrix B2; the full 64-hex value is not in the Inputs and must be pinned from GATE_A_POST_GATE_TRANSITION_INVENTORY_2026-08-09.md before any successor is dispatchable (risk R1).	Run plan, prereg section 8.2 rows 1-7. Pin --no-pager; capture grep rc and treat rc outside {0,1} as STOP - the matrix's "&& echo BAD || echo OK" form collapses grep's error class into OK and is not carried forward; a sha256sum open/read/permission/LSM error on the fragment is B2_STOP (Codex F5, round 1.2), and a digest mismatch is admissible only after rc 0 plus a valid 64-hex digest and the 3736-byte count.
B3	B	Paths, ownership and permissions: release read-only 0555 root:root, state+log 0750 mtc-bridge:mtc-bridge, conf 0750 root:root, env 0600 root:root, install manifest 0640 root:root	partial	Feasible: full walks of the two 0555 trees including the find -perm /222 write-bit sweep, and stat of the metadata directories THEMSELVES - stat resolves a path using search permission on the parents (/etc, /var/lib, the log parent are world-searchable), not on the target. Not feasible: any CHILD of /etc/mtc-bridge (0750 root:root) or of the state and log dirs (0750 mtc-bridge:mtc-bridge, gatea not a member), which is precisely the B3-GAP-ENV STOP.	INCLUDE-READ-ONLY (two 0555 trees + terminal stat of the three metadata dirs) / DEFER-ROOT-SIDE (any path INSIDE those dirs: env file, install manifest, state and log contents)	Prior partial observations exist at EVIDENCE_INDEX.md 03_TRANSPORT operator_record/evidence/WPLP2-20260809T125940Z-8dc78f08-B3/b3.log (1784 B, 079d6ac9f345b10ec333768203887ae52de9d6be89f0c5c4031a68353c4424a1) but RUNID ...-B3 is BURNED (STOP rc 3) and a STOP is never re-read as a PASS: corroboration, not closure.	Scoped half: run plan, prereg section 8.2 rows 10-16 in a NEW block. RP1-B3.sh (f40411b053779b28ec9d970d7e5610fe5f363acbc48ee487d07ebce2638a69af) must not travel in the WP-I kit. Deferred half: prereg section 9, RPD-VERIFY; the bridge.env vs mtc-bridge.env naming question stays unresolved, not triggered.
B4	B	Environment isolation and sandboxing directives present and EFFECTIVE on the running unit, including the pinned MTC_BRIDGE_START_MODE=credential_free_disarmed	yes	systemctl show -p <named property> is an unprivileged read-only query; no property in the set is privilege-gated.	INCLUDE-READ-ONLY	No banked effective-property capture; matrix B4 records the template declaration (A4) as existing evidence and the show output as NOT YET CREATED.	Run plan, prereg section 8.2 rows 8-9. Capture with explicit -p selection only, never a bare systemctl show, so the evidence cannot carry an unnamed environment value into the record.
B5	B	Current credential-free DISARMED runtime via GET /api/status: DISARMED, state_version=1, mode credential_free_disarmed, network/exchange/credential/ARM flags off, no secret value read	partial	A loopback HTTP GET from on-host is not privilege-gated, so any local user including gatea can reach 127.0.0.1:8790; running curl inside the ssh command avoids the tunnel the matrix sketches. Two unobserved premises hold this at partial: whether /api/status requires an auth token, and whether curl exists on the host. Both are settled by the P0 preflight and both fail closed to STOP, never FAIL.	INCLUDE-READ-ONLY	Prior capture exists as Gate-A A-5/A-7/A-8/A-9 postchecks and the transition inventory - not in EVIDENCE_INDEX.md, so not banked for this ledger. Field names and spellings are taken from matrix prose (B5, section 0.6), not from an observed response body (risk R4).	Run plan, prereg section 8.2 rows 20-21. Missing curl is STOP with no substitution; an unexpected key is B5_STOP reason=schema_unexpected, never a FAIL.
B6	B	Loopback-only listener (exactly one, 127.0.0.1:8790), UFW SSH-only, and the control port unreachable from the external host	partial	ss -ltn reads /proc/net/tcp and tcp6, which list the listening sockets in the CALLER'S network namespace for any user; it does NOT cross namespaces (Codex F2). Only the -p process mapping needs root and is excluded from the argv. The namespace binding is proven by comparing readlink /proc/self/ns/net to readlink /proc/<MainPID>/ns/net; the service identity may be unreadable (EACCES) for a root-owned process under ptrace/yama gating. ufw status requires root and is unobtainable as gatea. The external reachability reprobe runs operator-side and needs no host privilege at all.	INCLUDE-READ-ONLY (listener set admissible only after netns binding proven + external reprobe) / DEFER-ROOT-SIDE (ufw status; and the netns binding itself if the service netns identity is unreadable by gatea)	Prior capture: A-8 recorded listener_count=1, 127.0.0.1:8790 only, ufw rc=0, host port8790_ok=False - Gate-A evidence, not in EVIDENCE_INDEX.md. Reading risk R5: "exactly one listener" is read as one BRIDGE listener on 8790, since sshd:22 must also be listening for the run to arrive at all. Namespace-binding premise (Codex F2): the service netns identity (/proc/<MainPID>/ns/net) is assumed readable by gatea but is unverified; if EACCES, the listener-set half routes to RPD-VERIFY.	Run plan, prereg section 8.2 rows 22-24 plus the namespace-binding adjudication rule (Codex F2, round 1.2); the external probe is op 06 and is the one non-ssh host contact, bound operator-side rather than by CLOSE_DIGEST_SET. ufw half and (conditionally) the netns binding: prereg section 9/10, RPD-VERIFY.
C1	C	Graceful SIGTERM clean shutdown: exit within TimeoutStopSec=45 then FinalKillSignal=SIGKILL, NRestarts stays 0, DB consistent, no dangling state (WP0 I-R4, explicitly OPEN)	no	systemctl stop is a privileged unit operation gatea cannot perform, and the post-stop DB assertions target /var/lib/mtc-bridge which gatea cannot read. Privilege is not the binding constraint in any case - see blocker.	BLOCKED-UPSTREAM	Mutating-host: needs an explicitly named authority lift (stop + recovery start) plus a budget lift (matrix section 1, exact 50-hour balance NOT REPRODUCIBLE), AND carries an open COMMAND GAP - no existing verifier asserts "no dangling state after SIGTERM".	Prereg section 9. Nothing executable preregistered. Do not improvise a post-stop procedure; it must be designed locally first.
C2	C	Reboot DISARMED: after a host reboot the bridge is not armed and submits no order; DISARMED-by-absence, with the expected mask state asserted read-only on return	no	Reboot is a privileged operation gatea cannot perform.	BLOCKED-UPSTREAM	Mutating-host (reboot) + budget; plus an undefined predicate - scenario A (plain reboot from the current unmasked state, expect inactive+unmasked) and scenario B (separately authorised stop+mask, then reboot, expect inactive+masked) are different checks and one must be chosen and preregistered first. verify.sh is a pre-start masked/unstarted-mode verifier (its own comment, :240-242) and is not the post-reboot instrument. COMMAND GAP.	Prereg section 9. Nothing executable preregistered. Do not infer an auto-restart promise; G1's "no [Install], cannot auto-start" is not yet a product defect.
