path,size_bytes,mtime_iso,age_days_at_inventory,likely_owner,likely_purpose,classification,canonical_twin,evidence_relevance,classification_rationale,tracked_at_fixed_sha_same_path
.agents/skills/ask-matt/agents/openai.yaml,142,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/ask-matt/PHASE-BOUNDARIES.md,4304,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/ask-matt/SKILL.md,11507,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/claude-handoff/agents/openai.yaml,146,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/claude-handoff/SKILL.md,1319,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/code-review/agents/openai.yaml,103,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/code-review/SKILL.md,6676,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/codebase-design/agents/openai.yaml,105,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/codebase-design/DEEPENING.md,2590,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/codebase-design/DESIGN-IT-TWICE.md,2708,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/codebase-design/SKILL.md,6560,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/diagnosing-bugs/agents/openai.yaml,106,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/diagnosing-bugs/scripts/hitl-loop.template.sh,1360,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/diagnosing-bugs/SKILL.md,8667,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/domain-modeling/ADR-FORMAT.md,2780,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/domain-modeling/agents/openai.yaml,104,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/domain-modeling/CONTEXT-FORMAT.md,2350,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/domain-modeling/SKILL.md,3405,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/git-guardrails-claude-code/agents/openai.yaml,115,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/git-guardrails-claude-code/scripts/block-dangerous-git.sh,532,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/git-guardrails-claude-code/SKILL.md,2408,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/grill-me/agents/openai.yaml,142,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/grill-me/SKILL.md,164,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/grill-with-docs/agents/openai.yaml,150,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/grill-with-docs/SKILL.md,254,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/grilling/agents/openai.yaml,116,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/grilling/SKILL.md,2015,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/handoff/agents/openai.yaml,146,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/handoff/SKILL.md,910,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/implement-spec/agents/openai.yaml,148,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/implement-spec/SKILL.md,2078,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/implement/agents/openai.yaml,144,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/implement/SKILL.md,448,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/improve-codebase-architecture/agents/openai.yaml,171,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/improve-codebase-architecture/HTML-REPORT.md,6764,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/improve-codebase-architecture/SKILL.md,6064,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/loop-me/agents/openai.yaml,145,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/loop-me/SKILL.md,2554,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/migrate-to-shoehorn/agents/openai.yaml,113,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/migrate-to-shoehorn/SKILL.md,2913,2026-08-22T19:56:11+03:00,2.0,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/prototype/agents/openai.yaml,103,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
.agents/skills/prototype/LOGIC.md,6103,2026-08-23T09:06:10+03:00,1.452,local agent tooling (human owner UNKNOWN),local reusable agent-skill package/support file,UNKNOWN,,"NONE — local agent tooling state, not repository/product evidence",untracked artefact has no safe canonical/legacy/evidence determination,NO
