rank_old,strategy_id,source_report_old,tested_assets_count_old,tested_timeframes_old,trade_count_old,aggregate_pf_old,aggregate_net_return_pct_old,aggregate_max_dd_pct_old,return_dd_ratio_old,fee_2x_pf_old,fee_3x_pf_old,best_asset_old,worst_asset_old,best_variant_old,final_classification_old,next_action_old,rank_new,source_report_new,tested_assets_count_new,tested_timeframes_new,trade_count_new,aggregate_pf_new,aggregate_net_return_pct_new,aggregate_max_dd_pct_new,return_dd_ratio_new,fee_2x_pf_new,fee_3x_pf_new,best_asset_new,worst_asset_new,best_variant_new,final_classification_new,next_action_new,queue_order,rank_changed,classification_changed,fee_2x_pf_delta,fee_3x_pf_delta,aggregate_pf_delta,audit_note
2,QL_8AM_ET_OPENING_RANGE_BREAKOUT_v0,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,0,5m,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BLOCKED_DATA,BLOCKED_DATA: repo-local manifest has no 5m datasets; requires at least 5 liquid assets with 5m OHLCV and 08:00 ET session anchor.,8,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,0,5m,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BLOCKED_DATA,BLOCKED_DATA: repo-local manifest has no 5m datasets; requires at least 5 liquid assets with 5m OHLCV and 08:00 ET session anchor.,8,True,False,0.0,0.0,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
9,QL_BIGBELUGA_RSI_DIVERGENCE_CHOCH_ATR_v0,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,5,"1D,4h",302,1.5857792934159085,73.17316703628956,-37.0223371812681,1.9764599592408336,1.7307220764390072,1.6640291609431757,XRPUSDT,ETHUSDT,"{""atr_mult"": 5.0, ""pivot"": 10}",WEAK_CANDIDATE,LOW_SAMPLE: too few trades for promotion.,5,2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,5,"1D,4h",302,1.5857792934159085,73.17316703628956,-37.0223371812681,1.9764599592408336,1.5366468342735151,1.4889345850227236,XRPUSDT,ETHUSDT,"{""atr_mult"": 5.0, ""pivot"": 10}",WEAK_CANDIDATE,LOW_SAMPLE: too few trades for promotion.,5,True,False,-0.1940752421654921,-0.17509457592045208,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
1,QL_CANSLIM_SHAKEOUT_PLUS_3_v0,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,5,1D,101,0.568270388157094,-35.93314553205039,-48.34050015133598,-0.7433341694760539,0.551664476693523,0.5356069950122581,BTCUSDT,ETHUSDT,"{""target_pct"": 25}",BASELINE_ONLY,Crypto proxy is exploratory and cannot prove the equity-specific CANSLIM rule.,6,2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,5,1D,101,0.568270388157094,-35.93314553205039,-48.34050015133598,-0.7433341694760539,0.551664476693523,0.5356069950122581,BTCUSDT,ETHUSDT,"{""target_pct"": 25}",BASELINE_ONLY,Crypto proxy is exploratory and cannot prove the equity-specific CANSLIM rule.,6,True,False,0.0,0.0,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
6,QL_CRABEL_RANGE_EXPANSION_STAGE2_v0,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,5,1D,208,2.0173175646630512,183.2569671389702,-53.69494754396607,3.412927575521276,1.9760317771017872,1.936081760324179,BNBUSDT,ETHUSDT,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",WEAK_CANDIDATE,"Edge exists but robustness, sample distribution, or symbol-level DD is not strong enough.",4,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,5,1D,208,2.0173175646630512,183.2569671389702,-53.69494754396607,3.412927575521276,1.9760317771017872,1.936081760324179,BNBUSDT,ETHUSDT,"{""atr_filter"": true, ""direction_mode"": ""long_only"", ""mult"": 0.7, ""trend_filter"": true}",WEAK_CANDIDATE,"Edge exists but robustness, sample distribution, or symbol-level DD is not strong enough.",4,True,False,0.0,0.0,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
5,QL_DAILY_EXTENSION_ANTI_CHASE_FILTER_v0,QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,5,1D,795,1.585245660380075,577.2825275136834,-68.60686056807576,8.414355688828957,1.5506536743808668,1.517194154734932,BTCUSDT,ETHUSDT,"{""lookback"": 3}",FILTER_ONLY,Filter reduced or reshaped entries; use only as gate research.,11,QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,5,1D,795,1.585245660380075,577.2825275136834,-68.60686056807576,8.414355688828957,1.5506536743808668,1.517194154734932,BTCUSDT,ETHUSDT,"{""lookback"": 3}",FILTER_ONLY,Filter reduced or reshaped entries; use only as gate research.,11,True,False,0.0,0.0,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
12,QL_EMA20_50_TWO_RETEST_BASELINE_v0,QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,5,"1D,1h,4h",5614,1.0621784843474624,31.139003740248395,-50.63706351043643,0.6149448957250565,1.1542605245498585,1.124892469183374,ETHUSDT,BTCUSDT,"{""tolerance"": 0.01}",WEAK_CANDIDATE,LOW_SAMPLE: too few trades for promotion.,12,QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,5,"1D,1h,4h",5614,1.0621784843474624,31.139003740248395,-50.63706351043643,0.6149448957250565,0.9620620095418548,0.873869553079399,ETHUSDT,BTCUSDT,"{""tolerance"": 0.01}",BASELINE_ONLY,Baseline reference only; fee stress and drawdown are not strong enough for producer research.,12,False,True,-0.19219851500800367,-0.251022916103975,0.0,rank unchanged
3,QL_HIGHBETA_OPENINGBAR_GAPANDGO_v0,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,0,5m,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BLOCKED_DATA,BLOCKED_DATA: no US high-beta intraday equities and no 5m crypto session data; requires 5m OHLCV/session gap data.,9,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,0,5m,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BLOCKED_DATA,BLOCKED_DATA: no US high-beta intraday equities and no 5m crypto session data; requires 5m OHLCV/session gap data.,9,True,False,0.0,0.0,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
10,QL_KELL_WEDGE_POP_CROSSBACK_10_20EMA_v0,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,5,"1D,4h",1840,1.2423815892231975,66.74733051079754,-24.16513116707008,2.7621340041288254,8.781834617610471,8.2804986082985,XRPUSDT,SOLUSDT,"{""contraction"": 8, ""max_range"": 5, ""stop_mode"": ""ATR_2"", ""variant"": ""basin_break""}",WEAK_CANDIDATE,LOW_SAMPLE: too few trades for promotion.,1,2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,5,"1D,4h",1840,1.2423815892231975,66.74733051079754,-24.16513116707008,2.7621340041288254,1.135621743913993,1.0418837753978216,XRPUSDT,SOLUSDT,"{""contraction"": 8, ""max_range"": 5, ""stop_mode"": ""ATR_2"", ""variant"": ""basin_break""}",WEAK_CANDIDATE,LOW_SAMPLE: too few trades for promotion.,1,True,False,-7.646212873696478,-7.238614832900677,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
8,QL_LINDA_5SMA_RS_PULLBACK_v0,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,5,1D,559,1.6051211584400935,195.19135218238625,-36.97126238324777,5.279542531142522,1.5199420056253563,1.4382916499378546,ETHUSDT,XRPUSDT,"{""stop_mode"": ""none""}",WEAK_CANDIDATE,"Edge exists but robustness, sample distribution, or symbol-level DD is not strong enough.",7,2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,5,1D,559,1.6051211584400935,195.19135218238625,-36.97126238324777,5.279542531142522,1.5199420056253563,1.4382916499378546,ETHUSDT,XRPUSDT,"{""stop_mode"": ""none""}",WEAK_CANDIDATE,"Edge exists but robustness, sample distribution, or symbol-level DD is not strong enough.",7,True,False,0.0,0.0,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
11,QL_MARTIN_LUKE_PULLBACK_AVWAP_v0,QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT.md,5,"1D,4h",2239,1.1211202807899117,46.62720506362259,-41.06374215393614,1.1354835827877214,0.9410591433192144,0.8880092856207001,BNBUSDT,XRPUSDT,"{""variant"": ""ema_avwap""}",WEAK_CANDIDATE,"Edge exists but robustness, sample distribution, or symbol-level DD is not strong enough.",2,QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT.md,5,"1D,4h",2239,1.1211202807899117,46.62720506362259,-41.06374215393614,1.1354835827877214,1.0265049670674995,0.9431258743247978,BNBUSDT,XRPUSDT,"{""variant"": ""ema_avwap""}",WEAK_CANDIDATE,"Edge exists but robustness, sample distribution, or symbol-level DD is not strong enough.",2,True,False,0.08544582374828513,0.055116588704097635,0.0,"old rank was classification-sorted, audited rank follows prompt queue"
