candidate_id,slug,title,source_file,source_url,youtube_id,thesis,strategy_family,asset_class,native_timeframe,required_data,entry_logic,exit_logic,sl_logic,tp_logic,sizing_notes,mtc_relevance,testability,rule_clarity,mechanical_testability,native_data_availability,edge_plausibility,robustness_expectation,mtc_compatibility,overfit_penalty,data_penalty,tier,total_score
CANDIDATE_003,slingshot_4ema_high_pullback,"Slingshot EMA(high,4) Pullback",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,Strength pullback closes back over EMA of highs.,trend_pullback,crypto_transferable,1D,Daily OHLCV,"Above SMA50, recent close below EMA(high,4), trigger cross back above.","Close below EMA(high,4), ATR trail, or fixed R.",Pullback low or ATR stop.,2R/3R variants.,1x equity research sizing.,PRODUCER_CANDIDATE,TEST_NOW_LOCAL_DATA,5,5,5,3,3,4,-1,0,A,24
CANDIDATE_007,linda_5sma_rs_pullback,Linda 5SMA RS Pullback,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,kTqKRi-j9kM,Trend asset pulls below 5SMA and exits on snapback.,mean_reversion_pullback,crypto_transferable,1D,Daily OHLCV,"Above SMA50/200, close dips below SMA5, next open entry.",Exit when close recovers above SMA5 or ATR stop.,Optional ATR/fixed stop.,Mean-reversion exit.,1x equity research sizing.,PRODUCER_CANDIDATE,TEST_NOW_LOCAL_DATA,5,5,5,3,3,4,-1,0,A,24
CANDIDATE_004,crabel_range_expansion,Crabel Range Expansion,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,Previous range expansion breakout above/below prior close.,breakout,crypto_transferable,1D,Daily OHLCV,High reaches close[1]+range[1]*mult or low reaches close[1]-range[1]*mult.,"Same close, next close, ATR/time exits.",Opposite breakout or ATR stop.,Time/target variants.,1x equity research sizing.,PRODUCER_CANDIDATE,TEST_NOW_LOCAL_DATA,5,5,5,3,2,4,-1,0,A,23
CANDIDATE_011,daily_extension_anti_chase_filter,Daily Extension Anti-Chase Filter,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,https://youtu.be/Yb5lMegA5Hs?si=_zP9cjzTaZN8vh4w,Yb5lMegA5Hs,Block late long/short entries after consecutive extended candles.,filter,crypto_transferable,1D context,Daily OHLCV plus target strategy trades,Not standalone; blocks entries after 3-5 strong candles.,N/A,N/A,N/A,Filter score only.,FILTER_CANDIDATE,TEST_NOW_LOCAL_DATA,5,4,5,2,3,5,-1,0,A,23
CANDIDATE_001,kell_wedge_pop_crossback,Kell Wedge Pop / EMA Crossback,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,https://youtu.be/fYxSQvuwOQc?si=mZyENAdFJu8x7LKZ,fYxSQvuwOQc,Trend continuation after EMA10/20 contraction and reclaim.,trend_pullback,crypto_transferable,1D/4h/1h,OHLCV with daily and intraday bars,"EMA10 above EMA20, recent compression, close reclaims fast EMA.",Close below EMA20 or ATR/time exit.,Mini-base low or 2 ATR.,Trail on EMA10/20 ride.,1x equity research sizing.,PRODUCER_CANDIDATE,TEST_NOW_LOCAL_DATA,4,4,5,3,3,4,-1,0,A,22
CANDIDATE_005,bigbeluga_rsi_choch_atr,BigBeluga RSI Divergence + CHoCH + ATR,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,RSI divergence confirmed by market structure shift with ATR management.,reversal_structure,crypto_transferable,4h/1D,OHLCV with pivot confirmation,"Confirmed divergence plus CHoCH, next bar open.",ATR trail or opposite CHoCH.,ATR stop.,ATR target ladder.,1x equity research sizing.,PRODUCER_CANDIDATE,TEST_NOW_LOCAL_DATA,3,4,5,3,2,3,-2,0,A,18
CANDIDATE_012,ema20_50_two_retests_baseline,EMA20/50 Two-Retest Baseline,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,https://youtu.be/RHlsVNSM8Aw?si=g54Kry_ryc8pYWPK,RHlsVNSM8Aw,Generic EMA20/50 cross plus two retests baseline.,baseline_trend,crypto_transferable,1h/4h/1D,OHLCV,Cross then two successful retests.,Opposite cross/EMA50/ATR.,Retest swing or ATR.,2R/3R variants.,1x equity research sizing.,BASELINE_ONLY,TEST_NOW_LOCAL_DATA,4,4,5,1,2,3,-1,0,A,18
CANDIDATE_008,8am_et_opening_range_breakout,8AM ET Opening Range Breakout,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,Session anchored opening range breakout.,intraday_breakout,futures/session_native,5m,5m session-aware OHLCV,Break 08:00 ET opening range high/low.,Time exit or opposite range side.,Opposite OR side/ATR.,Short holding period.,Intraday strict costs.,PRODUCER_CANDIDATE,TEST_WITH_5M_CRYPTO_PROXY,4,4,4,2,2,3,-2,0,B,17
CANDIDATE_013,weinstein_stage_analysis,Weinstein / Long-Base Stage Analysis,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,https://youtu.be/O0GpSPtmCuM?si=Ra7X5w149KdMksmj,O0GpSPtmCuM,Position-trading trend stage and base breakout framework.,position_trend,equity_native/crypto_proxy,1D/1W,"Long history OHLCV, relative strength preferred",Stage 2 breakout above base and rising MA.,Stage deterioration or trailing MA.,Base low.,Long-term trail.,Portfolio sleeve sizing.,PRODUCER_CANDIDATE,TEST_WITH_1D_CRYPTO_PROXY,3,3,4,3,3,3,-2,0,B,17
CANDIDATE_002,martin_luke_pullback_avwap,Martin Luke Pullback AVWAP,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9`,lS9zbnLi1Gg,Pullback into EMA/anchored VWAP confluence with reclaim trigger.,support_reclaim,crypto_proxy/equity_native,1D + 4h/1h,OHLCV; true AVWAP improves with intraday volume,"Flush into support confluence, reclaim previous bar high.",Partial at R targets and EMA trail.,Local low or max stop.,3R/5R partials.,R-based research sizing.,PRODUCER_CANDIDATE,TEST_WITH_1D_CRYPTO_PROXY,3,3,4,3,2,3,-2,0,B,16
