audited_candidate_id,original_candidate_id,title,source_file,source_url,video_id,strategy_family,asset_class,native_timeframe,rule_clarity,mechanical_testability,native_data_availability,edge,robustness,mtc,horizon_fit,overfit_penalty,data_penalty,source_penalty,duplicate_penalty,exact_rules,mtc_relevance,audit_verdict,data_status,source_quality,trade_count,assets_tested,PF_base,PF_fee_2x,PF_fee_3x,net_return,max_DD,win_rate,average_trade,median_trade,average_winner,average_loser,expectancy,fee_monotonic,final_classification,reason
AUD_CAND_001,CANDIDATE_001,Kell Wedge Pop / EMA Crossback,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,62OaP91Jz9k,trend_pullback,CRYPTO_PROXY,1D/4h/1h,4,4,5,3,2,4,4,-1,0,0,0,EMA10/EMA20 trend continuation after contraction and reclaim.,PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,MEDIUM_QUALITY_EDUCATIONAL,111,10,1.7481,1.6786,1.6132,331.7517,-46.3269,31.5315,1.8977,-1.6369,14.0635,-3.705,1.8977,True,WEAK_CANDIDATE,positive PF but drawdown/proxy/robustness prevents promotion
AUD_CAND_002,CANDIDATE_002,Martin Luke Pullback AVWAP Proxy,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9`,lS9zbnLi1Gg,support_reclaim,EQUITY_NATIVE_CRYPTO_PROXY,1D/4h/1h,3,3,4,3,2,3,4,-2,0,0,0,EMA/AVWAP confluence pullback proxy with reclaim trigger.,PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,HIGH_QUALITY_TRADER_INTERVIEW,584,10,1.4435,1.4078,1.3733,17034.8144,-91.7686,31.8493,1.9054,-3.5077,19.4704,-6.3034,1.9054,True,WEAK_CANDIDATE,positive PF but drawdown/proxy/robustness prevents promotion
AUD_CAND_003,CANDIDATE_003,"Slingshot EMA(high,4) Pullback",06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,https://youtu.be/c7ZSb2wNcOc?si=qdou6ffSbBNhJw63,c7ZSb2wNcOc,trend_pullback,CRYPTO_PROXY,1D,5,5,5,3,2,4,4,-1,0,0,0,"Above SMA50, recent pullback under EMA(high,4), cross back above.",PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,MEDIUM_QUALITY_EDUCATIONAL,1388,10,1.4581,1.3872,1.3207,292669.9798,-86.417,38.1124,0.9615,-0.9292,8.0297,-3.3913,0.9615,True,WEAK_CANDIDATE,positive PF but drawdown/proxy/robustness prevents promotion
AUD_CAND_004,CANDIDATE_004,Crabel Range Expansion,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,https://youtu.be/Ne3X-l6W4CQ?si=s2DVjxj3f45iUfgx,Ne3X-l6W4CQ,breakout,CRYPTO_PROXY,1D,5,5,5,3,2,4,4,-1,0,0,0,Break prior close plus/minus prior range multiplier; next close/time exit proxy.,PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,HIGH_QUALITY_TRADER_INTERVIEW,8105,10,1.251,1.1866,1.126,7179649232.748,-98.442,47.4522,0.5144,-0.2882,5.4034,-3.9004,0.5144,True,WEAK_CANDIDATE,positive PF but drawdown/proxy/robustness prevents promotion
AUD_CAND_005,CANDIDATE_005,BigBeluga RSI Divergence + CHoCH + ATR,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,"https://youtu.be/NGyE4YIgGpU?si=gj_6ZcIyjUFAEGhk""",NGyE4YIgGpU,reversal_structure,CRYPTO_PROXY,1D/4h,3,4,5,3,2,3,3,-2,0,-1,0,"RSI exhaustion plus structure break proxy, ATR/time management.",PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,MEDIUM_QUALITY_EDUCATIONAL,465,10,1.4516,1.4236,1.3962,3955.225,-79.8493,46.6667,2.3674,-1.412,16.3052,-9.8282,2.3674,True,WEAK_CANDIDATE,positive PF but drawdown/proxy/robustness prevents promotion
AUD_CAND_006,CANDIDATE_006,CANSLIM Shakeout +3,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,position_breakout,US_EQUITY_NATIVE,1D,4,4,1,3,2,2,5,-2,-6,0,0,Double-bottom shakeout buy point; needs US equity RS/fundamental context.,POSITION_TRADING_MODULE,DATA_BLOCKED,NEEDS_REAL_EQUITY_DATA,HIGH_QUALITY_TRADER_INTERVIEW,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,NEEDS_REAL_EQUITY_DATA,required native data unavailable
AUD_CAND_007,CANDIDATE_007,Linda 5SMA RS Pullback,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,kTqKRi-j9kM,mean_reversion_pullback,CRYPTO_PROXY,1D,5,5,5,3,2,4,4,-1,0,0,0,"Trend asset closes below 5SMA, exits on snapback above 5SMA.",PRODUCER_CANDIDATE,KEEP_TESTED,CRYPTO_DAILY_PROXY,HIGH_QUALITY_TRADER_INTERVIEW,687,10,1.3096,1.2609,1.2138,1206.3069,-85.9357,63.0277,0.8382,1.7501,5.626,-7.3236,0.8382,True,WEAK_CANDIDATE,positive PF but drawdown/proxy/robustness prevents promotion
AUD_CAND_008,CANDIDATE_008,8AM ET Opening Range Breakout,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,intraday_breakout,SESSION_NATIVE_CRYPTO_PROXY,5m,4,4,4,1,1,3,5,-2,0,0,0,08:00 ET opening range breakout; crypto is 24/7 proxy only.,PRODUCER_CANDIDATE,KEEP_TESTED,5M_CRYPTO_PROXY,MEDIUM_QUALITY_EDUCATIONAL,4259,5,0.5383,0.3067,0.1848,-99.4805,-99.4799,34.1395,-0.1215,-0.1332,0.4149,-0.3995,-0.1215,True,REJECT_NO_EDGE,no sufficient edge after audited checks
AUD_CAND_009,CANDIDATE_009,HighBeta Opening-Bar Gap-and-Go,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,intraday_momentum,US_EQUITY_NATIVE_CRYPTO_PROXY,5m,4,4,3,2,1,3,5,-2,-2,0,0,"Strong first 5m bar, low holds, break high; true gap data unavailable.",PRODUCER_CANDIDATE,KEEP_TESTED,5M_CRYPTO_PROXY_NEEDS_EQUITY_SESSION,MEDIUM_QUALITY_EDUCATIONAL,151,5,1.0861,0.716,0.4825,3.0885,-7.1457,49.0066,0.0235,-0.025,0.6058,-0.5361,0.0235,True,NEEDS_INTRADAY_SESSION_DATA,required native data unavailable
AUD_CAND_010,CANDIDATE_010,Ty Rajnus Microcap Liquidity Reversion Short,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,https://www.youtube.com/watch?v=6tnREqUJ1WY,6tnREqUJ1WY,microcap_short,US_MICROCAP_NATIVE,1m/premarket,4,3,0,3,1,1,5,-3,-10,0,0,Short overextended US microcap; requires borrow/locate/halt/dilution model.,DATA_BLOCKED,DATA_BLOCKED,NEEDS_REAL_MICROCAP_DATA,HIGH_QUALITY_TRADER_INTERVIEW,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,NEEDS_REAL_MICROCAP_DATA,required native data unavailable
AUD_CAND_011,CANDIDATE_011,Daily Extension Anti-Chase Filter,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,https://youtu.be/Yb5lMegA5Hs?si=_zP9cjzTaZN8vh4w,Yb5lMegA5Hs,filter,CRYPTO_PROXY,1D,5,4,5,1,3,5,4,-1,0,0,0,Block late entries after consecutive extended candles; standalone reversal rejected.,FILTER_CANDIDATE,RECLASSIFIED,CRYPTO_DAILY_PROXY,MEDIUM_QUALITY_EDUCATIONAL,111,10,0.5201,0.5031,0.4865,-96.8928,-98.614,43.2432,-2.4328,-1.7524,6.0962,-8.9311,-2.4328,True,FILTER_ONLY,standalone result weak; may be useful only as gate/filter
AUD_CAND_012,CANDIDATE_012,EMA20/50 Two-Retest Baseline,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,https://youtu.be/fYxSQvuwOQc?si=mZyENAdFJu8x7LKZ,fYxSQvuwOQc,baseline_trend,CRYPTO_PROXY,1D/4h/1h,4,4,5,1,1,3,4,-1,0,-1,0,EMA20/50 cross with two retests; generic benchmark logic.,REJECT,RECLASSIFIED,CRYPTO_DAILY_PROXY,LOW_QUALITY_GENERIC_YOUTUBE,135,10,1.8741,1.8376,1.8023,738.7124,-82.1442,23.7037,4.7083,-4.331,42.5872,-7.0599,4.7083,True,BASELINE_ONLY,"generic benchmark logic, not evidence of unique edge"
AUD_CAND_013,CANDIDATE_013,Weinstein / Long-Base Stage Analysis,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,kTqKRi-j9kM,position_trend,EQUITY_NATIVE_CRYPTO_PROXY,1D/1W,3,3,2,3,3,2,5,-2,-4,0,0,Stage 2 base breakout / long-term allocation framework; needs equity/RS breadth data.,POSITION_TRADING_MODULE,KEEP_UNTESTED_PROMISING,NEEDS_REAL_EQUITY_DATA,HIGH_QUALITY_TRADER_INTERVIEW,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,NEEDS_REAL_EQUITY_DATA,required native data unavailable
AUD_CAND_014,CANDIDATE_014,Wyckoff / Process Framework,06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,https://youtu.be/ElocJ-b_NTs?si=5HoHV7QnhLAqXNM1,ElocJ-b_NTs,process,MULTI_ASSET,multi,1,1,3,1,1,1,2,-5,0,0,0,Discretionary process framework; not enough mechanical rules.,PROCESS_ONLY,REJECTED,REJECT_NOT_TESTABLE,MEDIUM_QUALITY_EDUCATIONAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,PROCESS_ONLY,not mechanical enough for backtest
