file_path,url,video_id,title,classification,reason,strategy_names,asset_class,timeframe,testability,candidate_count
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,https://youtu.be/-JyH5PAJ4-Y?si=BqaSaOarsfJIutKk,-JyH5PAJ4-Y,QUANTLENS TRANSCRIPT INTAKE REPORT — Nick Schmidt Weekly Character Change / Trade Less Model,VALID_INTAKE_REPORT,intake markers present,CANSLIM,US_EQUITY,5m,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_10pHBNVi4Jc_quantlens_gon_gajala_low_float_momentum_intake.md,https://youtu.be/10pHBNVi4Jc?si=ohzwBJxkVCTKPpcX,10pHBNVi4Jc,QUANTLENS TRANSCRIPT INTAKE REPORT — Gon Gajala / Record Breaking Trading Champion Setups,VALID_INTAKE_REPORT,intake markers present,VWAP,US_MICROCAP,5m,NEEDS_US_MICROCAP_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_62OaP91Jz9k_quantlens_nick_schmidt_weekly_strategy_intake.md,https://youtu.be/62OaP91Jz9k?si=PHn5ULWDuxyqjQ24,62OaP91Jz9k,QUANTLENS TRANSCRIPT INTAKE REPORT — Nick Schmidt Weekly Strategy,VALID_INTAKE_REPORT,intake markers present,"CANSLIM,Kell",US_EQUITY,5m,NEEDS_US_EQUITY_DATA,2
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_9ZJK8175drM_quantlens_canslim_detailed_intake.md,https://youtu.be/9ZJK8175drM?si=QcTE0mdW00UzcL_B,9ZJK8175drM,QUANTLENS TRANSCRIPT INTAKE REPORT — 9ZJK8175drM,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03__QewlGLBaeA_quantlens_anthony_shi_cycle_aware_momentum_intake.md,https://youtu.be/_QewlGLBaeA?si=ZoVcYdRIch1Lx_Df,_QewlGLBaeA,QUANTLENS TRANSCRIPT INTAKE REPORT — Anthony Shi / Profitable Momentum Swing Trader,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_c7ZSb2wNcOc_quantlens_detailed_intake.md,https://youtu.be/c7ZSb2wNcOc?si=qdou6ffSbBNhJw63,c7ZSb2wNcOc,QUANTLENS TRANSCRIPT INTAKE REPORT — c7ZSb2wNcOc,VALID_INTAKE_REPORT,intake markers present,"Slingshot,slingshot",US_EQUITY,1D,TESTABLE_OR_REVIEW,2
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_fYxSQvuwOQc_quantlens_oliver_kell_cycle_intake.md,https://youtu.be/fYxSQvuwOQc?si=mZyENAdFJu8x7LKZ,fYxSQvuwOQc,QUANTLENS TRANSCRIPT INTAKE REPORT — fYxSQvuwOQc,VALID_INTAKE_REPORT,intake markers present,"CANSLIM,EMA20,ema20",US_EQUITY,5m,NEEDS_US_EQUITY_DATA,3
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_ivL6E6Lc6gM_quantlens_charles_harris_pullback_intake.md,https://youtu.be/ivL6E6Lc6gM?si=GNNGCxRmyNZYqNrJ,ivL6E6Lc6gM,QUANTLENS TRANSCRIPT INTAKE REPORT — Charles Harris Perfect Pullback Trading Setup,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,5m,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_KQRuUWSZvLE_quantlens_ryan_pierpont_process_intake.md,https://youtu.be/KQRuUWSZvLE?si=50fVh__JlzLkqeb0,KQRuUWSZvLE,QUANTLENS TRANSCRIPT INTAKE REPORT — KQRuUWSZvLE,VALID_INTAKE_REPORT,intake markers present,"CANSLIM,EMA20,EMA50,Kell,Slingshot,VWAP",US_EQUITY,5m,NEEDS_US_EQUITY_DATA,6
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_kTqKRi-j9kM_quantlens_linda_raschke_sell_rules_trade_management_intake.md,https://youtu.be/kTqKRi-j9kM?si=99GgO3p0M-b25wBA,kTqKRi-j9kM,QUANTLENS TRANSCRIPT INTAKE REPORT — Linda Bradford Raschke / 5 Essential Sell Rules & Trade Management,VALID_INTAKE_REPORT,intake markers present,"Linda,Raschke,Weinstein",US_EQUITY,5m,TESTABLE_OR_REVIEW,3
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_MnXQOt7_ZP0_quantlens_jim_roppel_ai_bull_market_intake_report.md,https://youtu.be/MnXQOt7_ZP0?si=OdvX4hI-qnjYMKZp,MnXQOt7_ZP0,QUANTLENS TRANSCRIPT INTAKE REPORT — Jim Roppel AI Bull Market / Position Trading Framework,DUPLICATE_STRATEGY,strategy duplicate of C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_-JyH5PAJ4-Y_quantlens_nick_schmidt_weekly_character_change_intake.md,CANSLIM,US_EQUITY,1D,NEEDS_US_EQUITY_DATA,1
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,https://youtu.be/Ne3X-l6W4CQ?si=s2DVjxj3f45iUfgx,Ne3X-l6W4CQ,QUANTLENS TRANSCRIPT INTAKE REPORT — Ne3X-l6W4CQ,VALID_INTAKE_REPORT,intake markers present,"Crabel,Linda,Raschke",US_EQUITY,5m,TESTABLE_OR_REVIEW,3
