source,path,classification,canonical_twin,rationale,evidence_relevance
TRACKED_FIXED_SHA,.chatgpt-instructions.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,.claude/skills/mtc-repo-guard/SKILL.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,.cursorrules,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,.gitattributes,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,.gitignore,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/board_example.json,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/board_runner.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/ds_agent.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/mock_provider.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/provider.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/README.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/tests/conftest.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/tests/test_board_phase2.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/tests/test_board_runner.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/tests/test_mock_provider.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,_deepseek_driver/tests/test_provider.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,AGENTS.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,apply_migration.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,CLAUDE.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/ACTIVE_FILES.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/AI_MEMORY_DRAFT.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/DECISION_REQUESTS.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/DECISIONS.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/DEPENDENCY_AND_PATH_AUDIT.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/DEPRECATED_FILES.md,LEGACY,,tracked path has an explicit archive/legacy/retired/old marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/EXCLUDED_PROJECTS.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/INVENTORY_REPORT.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/migration_manifests/copy_manifest.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/deduplication_manifest.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/excluded_manifest.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/LEGACY_FREEZE_POLICY.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/legacy_git_status_after_verify.txt,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/legacy_git_status_before.txt,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/mtc_command_center_sha256_manifest.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/PATH_REWRITE_POLICY.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase1_apply_summary.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase1_residual_inventory.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2_path_rewrite.diff,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2_quantlens_06_quantlens_lab_hits.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2_smoke_case_110.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/phase2b_smoke_case_candidates.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2b_smoke_case_diagnostic.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2b_smoke_case_diagnostic.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_outcome.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_outcome.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_path_state_before_smoke.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_pine_only_sha256_after_smoke.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_pine_only_sha256_compare.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_pine_sha256_after_smoke.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_pine_sha256_before_smoke.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_pine_sha256_compare.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_smoke_AUTO_061.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/phase2c_smoke_AUTO_061_summary.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_outcome.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_outcome.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_pine_only_sha256_after_smoke.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_pine_only_sha256_compare.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_pine_trades_py_candidates.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_pinets_restore_manifest.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_pinets_restore_summary.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_pinets_source_candidates.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_smoke_AUTO_061.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/phase2d_smoke_AUTO_061_summary.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2e_outcome.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2e_outcome.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2e_pine_only_sha256_after_smoke.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase2e_pine_only_sha256_compare.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2e_pine_trades_restore_summary.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase2e_smoke_AUTO_061.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/phase2e_smoke_AUTO_061_summary.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_archive_summary.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_cwd_lockers.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_handle_locks.err.txt,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_handle_locks.txt,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_handle_locks_retry.err.txt,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_handle_locks_retry.txt,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_killed_cwd_lockers.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_missing_cwd_lockers.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_readonly_errors.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase3_spotcheck.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase4_late_root_scripts_restore.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase4_smoke_AUTO_002.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/phase4_smoke_AUTO_002_retry.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/phase5_path_rewrite_smoke_AUTO_002.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/phase6_audit_report.md,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/migration_manifests/phase6_pine_recheck.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/phase6_smoke_AUTO_002.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/phase6_smoke_AUTO_002_post_check8_fix.log,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,"HIGH — audit, run, decision, or triage record"
TRACKED_FIXED_SHA,docs/migration_manifests/pine_sha256_manifest.csv,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — research/data input whose provenance may matter
TRACKED_FIXED_SHA,docs/migration_manifests/verify_migration_result.json,EVIDENCE,,tracked path has a research/audit/evidence/parity marker,MEDIUM — filename/path indicates verification or evidence use
TRACKED_FIXED_SHA,docs/MIGRATION_MAP.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/MIGRATION_PLAN.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/PHASE0_SUMMARY.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,docs/superpowers/specs/2026-06-04-mtc-engine-validation-step-design.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,GEMINI.md,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/__init__.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/api/__init__.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/api/routes.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/api/ws.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/app.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/broker/__init__.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/broker/base.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/broker/hyperliquid.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/broker/mock.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/__init__.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/bars.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/engine.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/llm_gate.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/notify.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/orders.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/reconcile.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/risk.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/strategies/__init__.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
TRACKED_FIXED_SHA,IBKR_PAPER_BRIDGE/bridge/engine/strategies/keltner_trail_ema8.py,CANONICAL,,tracked fixed-point path with no legacy or evidence marker,UNKNOWN — no reliable evidence role established from path and bytes
